heterogeneity,label_rate_std,configuration,final_test_loss,final_test_accuracy,whole_train_loss,payload_bits,acceptance_fraction
iid,0.030905,schedule,0.530540,0.765500,0.551733,5415.00,1.000000
iid,0.030905,global_oracle,0.529886,0.766250,0.537824,4218.75,0.568711
iid,0.030905,ef_topk,0.531368,0.766833,0.542322,164280.00,
iid,0.030905,certificate_full_C25,0.529960,0.766333,0.542576,446301.75,0.241825
iid,0.030905,certificate_block10_C25,0.529983,0.766750,0.543953,388782.75,0.172965
moderate,0.097510,schedule,0.527957,0.766750,0.548846,6505.50,1.000000
moderate,0.097510,global_oracle,0.527443,0.768750,0.535139,5234.25,0.549362
moderate,0.097510,ef_topk,0.528338,0.766250,0.540053,164280.00,
moderate,0.097510,certificate_full_C25,0.527464,0.768667,0.540529,447402.00,0.211220
moderate,0.097510,certificate_block10_C25,0.527576,0.768000,0.542372,389947.50,0.147793
strong,0.190348,schedule,0.506347,0.774083,0.520575,11355.00,1.000000
strong,0.190348,global_oracle,0.505780,0.775417,0.506349,9538.50,0.532867
strong,0.190348,ef_topk,0.508132,0.774583,0.514678,164280.00,
strong,0.190348,certificate_full_C25,0.505787,0.774500,0.514510,452368.50,0.140131
strong,0.190348,certificate_block10_C25,0.505815,0.774167,0.517548,395092.50,0.097566
