architecture,tensor,events_per_parameter,never_fired_fraction
shallow_8,W1,95.1101974,0.0583882
shallow_8,b1,162.6250000,0.0625000
shallow_8,W2,72.0156250,0.0000000
shallow_8,b2,499.2500000,0.0000000
shallow_12,W1,70.5460526,0.0690789
shallow_12,b1,122.8020833,0.0416667
shallow_12,W2,62.5000000,0.0000000
shallow_12,b2,496.0000000,0.0000000
deep_8x8,W1,104.6414474,0.0008224
deep_8x8,b1,175.1093750,0.0000000
deep_8x8,W2,23.5761719,0.0214844
deep_8x8,b2,181.0312500,0.0000000
deep_8x8,W3,62.7343750,0.0000000
deep_8x8,b3,506.6250000,0.0000000
shallow_32,W1,40.3620477,0.0912829
shallow_32,b1,73.9765625,0.0664063
shallow_32,W2,44.3632813,0.0000000
shallow_32,b2,485.3750000,0.0000000
deep_16x16,W1,69.2462993,0.0106908
deep_16x16,b1,119.5625000,0.0078125
deep_16x16,W2,12.3833008,0.0908203
deep_16x16,b2,117.6328125,0.0234375
deep_16x16,W3,45.4375000,0.0000000
deep_16x16,b3,489.5000000,0.0000000
