architecture,method,dimension,topk,initialization_scale,final_train_objective,final_test_cross_entropy,final_test_accuracy,whole_train_objective,payload_bits,candidate_events,ever_fired_fraction,parameter_norm
shallow_8,events,169,5,0.18,0.4901958225,0.4592038312,0.780500,0.5151713993,151498.125,16833.125,0.9445266,1.9414636
shallow_8,ef_topk,169,5,0.18,0.4903011911,0.4604109696,0.777250,0.5310835731,888000.0,,,1.9760935
shallow_8,full,169,5,0.18,0.4876464166,0.4582365299,0.780667,0.5217342302,24011520.0,,,1.9236204
shallow_12,events,253,7,0.18,0.4890458498,0.4589768609,0.780750,0.5148897053,169237.125,18804.125,0.9357708,1.9325372
shallow_12,ef_topk,253,7,0.18,0.4887475469,0.4589385194,0.779167,0.5295250078,1243200.0,,,1.9534201
shallow_12,full,253,7,0.18,0.4866144157,0.4575582543,0.781250,0.5209244263,35946240.0,,,1.9138011
deep_8x8,events,241,7,0.50,0.5053498685,0.4622306370,0.780583,0.5419134988,191448.0,21272.0,0.9937759,2.2475861
deep_8x8,ef_topk,241,7,0.50,0.5100795418,0.4624779534,0.779583,0.5672132101,1243200.0,,,2.3639076
deep_8x8,full,241,7,0.50,0.5065537944,0.4613275818,0.781250,0.5548517376,34241280.0,,,2.3192197
shallow_32,events,673,17,0.18,0.4878273010,0.4575990686,0.781417,0.5128520952,316936.125,28812.375,0.9143759,1.9277112
shallow_32,ef_topk,673,17,0.18,0.4857839584,0.4565745312,0.779417,0.5227216896,3170160.0,,,1.9266924
shallow_32,full,673,17,0.18,0.4844502309,0.4559929986,0.780750,0.5159683362,95619840.0,,,1.8875738
deep_16x16,events,609,16,0.50,0.5042578904,0.4607426763,0.780333,0.5483022685,321558.875,29232.625,0.9556650,2.2564552
deep_16x16,ef_topk,609,16,0.50,0.5096828266,0.4593626065,0.778500,0.5709328830,2983680.0,,,2.4397031
deep_16x16,full,609,16,0.50,0.5064926001,0.4582473347,0.781750,0.5586219235,86526720.0,,,2.3780828
