data_seed,architecture,method,final_test_cross_entropy,final_test_accuracy,whole_train_objective,payload_bits
1500,shallow_12,events,0.440868,0.792333,0.497975,192925.5
1500,shallow_12,ef_topk,0.440588,0.792778,0.513582,1243200.0
1500,deep_8x8,events,0.445551,0.792222,0.529404,204709.5
1500,deep_8x8,ef_topk,0.444480,0.793444,0.553328,1243200.0
1500,shallow_32,events,0.440945,0.792000,0.498492,334684.2
1500,shallow_32,ef_topk,0.438513,0.794778,0.510237,3170160.0
1500,deep_16x16,events,0.442915,0.794111,0.536889,339942.2
1500,deep_16x16,ef_topk,0.441532,0.791778,0.561227,2983680.0
1700,shallow_12,events,0.453881,0.785889,0.512533,206692.5
1700,shallow_12,ef_topk,0.453853,0.782444,0.526448,1243200.0
1700,deep_8x8,events,0.456427,0.783556,0.538798,223479.0
1700,deep_8x8,ef_topk,0.457127,0.783111,0.561905,1243200.0
1700,shallow_32,events,0.451389,0.787444,0.511755,363245.7
1700,shallow_32,ef_topk,0.451018,0.784889,0.521985,3170160.0
1700,deep_16x16,events,0.455712,0.783778,0.553723,355545.7
1700,deep_16x16,ef_topk,0.453335,0.787111,0.577778,2983680.0
