configuration,method,step,topk_fraction,payload_bits,test_bce,accuracy,final_train_objective,whole_train_objective
full_step0p005,full,0.005,0.01,1366609920,0.504875,0.7845,0.491587,0.589394
full_step0p01,full,0.01,0.01,1366609920,0.410190,0.8250,0.392902,0.535629
full_step0p02,full,0.02,0.01,1366609920,0.400331,0.8265,0.380409,0.533657
full_step0p04,full,0.04,0.01,1366609920,0.403477,0.8215,0.381116,0.575691
full_step0p08,full,0.08,0.01,1366609920,0.573381,0.7885,0.567689,0.685651
ef0p5_step0p005,ef_topk,0.005,0.005,10010624,0.639563,0.6770,0.631839,0.668322
ef0p5_step0p01,ef_topk,0.01,0.005,10010624,0.583832,0.7615,0.570906,0.650439
ef0p5_step0p02,ef_topk,0.02,0.005,10010624,0.484886,0.8090,0.465717,0.626242
ef0p5_step0p04,ef_topk,0.04,0.005,10010624,0.593431,0.7310,0.580735,0.662044
ef0p5_step0p08,ef_topk,0.08,0.005,10010624,0.691806,0.5000,0.692018,0.733748
ef2p5_step0p005,ef_topk,0.005,0.025,50209536,0.551113,0.7635,0.538295,0.622984
ef2p5_step0p01,ef_topk,0.01,0.025,50209536,0.455184,0.8060,0.438230,0.577946
ef2p5_step0p02,ef_topk,0.02,0.025,50209536,0.420589,0.8090,0.401724,0.575793
ef2p5_step0p04,ef_topk,0.04,0.025,50209536,0.423970,0.8200,0.404505,0.575670
ef2p5_step0p08,ef_topk,0.08,0.025,50209536,0.644662,0.6175,0.641467,0.774790
