regime,positive_rate_std,method,payload_bits,test_bce,accuracy,final_train_objective,whole_train_objective
iid,0.000000,events,735584,0.390139,0.8290,0.369289,0.523661
iid,0.000000,ef_0p5pct,10010624,0.374469,0.8330,0.350925,0.491380
iid,0.000000,ef_2p5pct,50209536,0.394122,0.8295,0.371436,0.478720
iid,0.000000,full,1366609920,0.412189,0.8195,0.393944,0.517244
moderate,0.165831,events,3913472,0.408734,0.8210,0.386145,0.522822
moderate,0.165831,ef_0p5pct,10010624,0.429959,0.8065,0.405843,0.544637
moderate,0.165831,ef_2p5pct,50209536,0.428293,0.8155,0.406109,0.499126
moderate,0.165831,full,1366609920,0.418884,0.8135,0.401648,0.572809
strong,0.317017,events,7412208,0.393174,0.8265,0.369755,0.528148
strong,0.317017,ef_0p5pct,10010624,0.484886,0.8090,0.465717,0.626242
strong,0.317017,ef_2p5pct,50209536,0.420589,0.8090,0.401724,0.575793
strong,0.317017,full,1366609920,0.400331,0.8265,0.380409,0.533657
