configuration,family,payload_bits,test_bce,accuracy,final_train_objective,whole_train_objective
event_low,events,2879824,0.495017,0.7690,0.469842,0.605919
event_m1,events,2981712,0.477830,0.7950,0.460647,0.636412
event_m3_selected,events,7412208,0.393174,0.8265,0.369755,0.528148
event_m2,events,8036176,0.410705,0.8180,0.389914,0.543071
event_high_rate,events,11510720,0.487154,0.7910,0.448034,0.533850
ef_0p1pct,ef_topk,2033408,0.694069,0.4990,0.694488,0.690773
ef_0p25pct,ef_topk,5005312,0.585967,0.7830,0.575953,0.659291
ef_0p5pct,ef_topk,10010624,0.484886,0.8090,0.465717,0.626242
ef_1pct,ef_topk,20099456,0.478940,0.7835,0.461340,0.599358
ef_2p5pct,ef_topk,50209536,0.420589,0.8090,0.401724,0.575793
full_precision,dense,1366609920,0.400331,0.8265,0.380409,0.533657
