partition_seed,method,payload_bits,test_bce,accuracy,final_train_objective,whole_train_objective
1400,events,7412208,0.393174,0.8265,0.369755,0.528148
1400,ef_0p5pct,10010624,0.484886,0.8090,0.465717,0.626242
1400,ef_2p5pct,50209536,0.420589,0.8090,0.401724,0.575793
1400,full,1366609920,0.400331,0.8265,0.380409,0.533657
1500,events,7440464,0.417879,0.8095,0.395093,0.533520
1500,ef_0p5pct,10010624,0.522501,0.7745,0.502338,0.634604
1500,ef_2p5pct,50209536,0.434299,0.8050,0.416060,0.559981
1500,full,1366609920,0.412818,0.8190,0.393308,0.517343
1700,events,7889536,0.392106,0.8325,0.372540,0.507858
1700,ef_0p5pct,10010624,0.467978,0.8190,0.450748,0.613333
1700,ef_2p5pct,50209536,0.431180,0.8110,0.413555,0.548549
1700,full,1366609920,0.410734,0.8200,0.391499,0.519134
