metric,value
rho,0.999
gamma,0.3
threshold,0.025
jump0,0.0025
payload_bits,7412208
packetized_bits,7464272
messages,1627
candidate_events,463263
events_per_message,284.734481
mean_packet_payload_bits,4555.751690
ever_fired_fraction,0.651276
W1_events_per_param,17.488839
W1_never_fired,0.355070
b1_events_per_param,39.156250
b1_never_fired,0.156250
W2_events_per_param,36.248047
W2_never_fired,0.072266
b2_events_per_param,122.562500
b2_never_fired,0.0
W3_events_per_param,134.812500
W3_never_fired,0.0
b3_events_per_param,573.0
b3_never_fired,0.0
