regime,configuration,test_ce,test_accuracy,worst_class_accuracy,payload_bits,whole_train_objective
iid,full,0.708333,0.7251,0.241,1986127104,1.200064
iid,ef_0p5,0.594479,0.7909,0.433,14575452,0.996269
iid,ef_2p5,0.576114,0.7947,0.477,72877260,0.947928
iid,events,0.692647,0.7396,0.313,10393088,1.053535
moderate,full,0.694818,0.7339,0.449,1986127104,1.207776
moderate,ef_0p5,0.707083,0.7320,0.102,14575452,1.104961
moderate,ef_2p5,0.620031,0.7643,0.339,72877260,1.018134
moderate,events,0.630135,0.7790,0.370,25058208,1.046883
strong,full,0.673316,0.7497,0.355,1986127104,1.215871
strong,ef_0p5,0.747341,0.7094,0.092,14575452,1.159552
strong,ef_2p5,0.688566,0.7364,0.345,72877260,1.147214
strong,events,0.616792,0.7934,0.517,34723776,1.096419
extreme,full,0.737981,0.7187,0.436,1986127104,1.204702
extreme,ef_0p5,1.101869,0.5776,0.104,14575452,1.393498
extreme,ef_2p5,0.964926,0.6336,0.120,72877260,1.231715
extreme,events,0.889866,0.6672,0.026,56111904,1.200223
