regime,assignment,configuration,test_ce,test_accuracy,worst_class_accuracy,payload_bits,whole_train_objective
strong,identity,full,0.673316,0.7497,0.355,1986127104,1.215871
strong,identity,ef_2p5,0.688566,0.7364,0.345,72877260,1.147214
strong,identity,events,0.616792,0.7934,0.517,34723776,1.096419
strong,reverse,full,0.744088,0.7177,0.198,1986127104,1.380387
strong,reverse,ef_2p5,0.717739,0.7303,0.092,72877260,1.110315
strong,reverse,events,0.672133,0.7728,0.476,32467296,1.075885
strong,mixed,full,0.676365,0.7553,0.249,1986127104,1.199902
strong,mixed,ef_2p5,0.769191,0.6870,0.059,72877260,1.105209
strong,mixed,events,0.703345,0.7496,0.234,32340880,1.108887
extreme,identity,full,0.737981,0.7187,0.436,1986127104,1.204702
extreme,identity,ef_2p5,0.964926,0.6336,0.120,72877260,1.231715
extreme,identity,events,0.889866,0.6672,0.026,56111904,1.200223
extreme,reverse,full,0.839351,0.6689,0.063,1986127104,1.303883
extreme,reverse,ef_2p5,0.777054,0.7067,0.173,72877260,1.329137
extreme,reverse,events,0.826156,0.6602,0.136,53346544,1.168693
extreme,mixed,full,0.837502,0.6786,0.242,1986127104,1.331886
extreme,mixed,ef_2p5,0.888017,0.6642,0.006,72877260,1.297297
extreme,mixed,events,0.883095,0.6460,0.000,46550112,1.267851
