data_seed,configuration,test_ce,test_accuracy,worst_class_accuracy,payload_bits,whole_train_objective
2400,full,0.673307,0.7496,0.355,1986127104,1.215880
2400,ef_0p5,0.743713,0.7219,0.198,14575452,1.170234
2400,ef_2p5,0.692858,0.7246,0.378,72877260,1.128887
2400,events_selected,0.640067,0.7823,0.353,34751856,1.082559
2500,full,0.733870,0.7175,0.343,1986127104,1.216575
2500,ef_0p5,0.858776,0.6584,0.152,14575452,1.161501
2500,ef_2p5,0.737530,0.7271,0.331,72877260,1.056443
2500,events_selected,0.791536,0.6977,0.082,33391776,1.082842
2600,full,0.626498,0.7706,0.345,1986127104,1.088098
2600,ef_0p5,0.796653,0.7014,0.066,14575452,1.155736
2600,ef_2p5,0.645419,0.7492,0.174,72877260,1.042641
2600,events_selected,0.659275,0.7654,0.361,34827488,1.072619
