regime,seed,compute,method,test_ce,test_accuracy,worst_class_accuracy,whole_train_objective,payload_bits,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
iid,2400,equal,full,0.6236792206764221,0.7718,0.472,0.9071269597223828,1784540160,0.926,0.94,0.564,0.759,0.561,0.931,0.472,0.764,0.882,0.919
iid,2400,equal,ef_topk,0.5499604344367981,0.8045,0.341,0.901044832253456,65480400,0.867,0.95,0.667,0.792,0.797,0.896,0.341,0.832,0.947,0.956
iid,2400,heterogeneous,full,0.708352267742157,0.7251,0.241,1.1073671004567829,1986127104,0.812,0.942,0.702,0.862,0.301,0.811,0.241,0.944,0.882,0.754
iid,2400,heterogeneous,ef_topk,0.580115795135498,0.7883,0.336,0.9263581094537462,72877260,0.811,0.955,0.652,0.834,0.745,0.764,0.336,0.903,0.939,0.944
strong,2400,equal,full,0.6255020499229431,0.7706,0.326,0.9281116476433616,1784540160,0.912,0.93,0.52,0.656,0.901,0.893,0.326,0.671,0.934,0.963
strong,2400,equal,ef_topk,0.576757550239563,0.7926,0.345,0.9509135586023332,65480400,0.882,0.924,0.589,0.83,0.763,0.847,0.345,0.882,0.929,0.935
strong,2400,heterogeneous,full,0.6733165979385376,0.7497,0.355,1.1383482189825602,1986127104,0.715,0.892,0.599,0.907,0.532,0.774,0.355,0.875,0.932,0.916
strong,2400,heterogeneous,ef_topk,0.6652547717094421,0.752,0.306,1.0915701746736253,72877260,0.723,0.924,0.508,0.842,0.76,0.76,0.306,0.883,0.937,0.877
strong,2500,equal,full,0.5842847228050232,0.7945,0.423,0.8925731033767972,1784540160,0.747,0.901,0.683,0.945,0.672,0.777,0.423,0.93,0.953,0.914
strong,2500,equal,ef_topk,0.5869911313056946,0.7883,0.351,0.9310284459693092,65480400,0.798,0.935,0.591,0.882,0.8,0.743,0.351,0.91,0.936,0.937
strong,2500,heterogeneous,full,0.73387610912323,0.718,0.343,1.1098899261747088,1986127104,0.541,0.898,0.768,0.899,0.343,0.67,0.445,0.975,0.867,0.774
strong,2500,heterogeneous,ef_topk,0.7166572213172913,0.7402,0.26,1.031831726714543,72877260,0.61,0.923,0.594,0.841,0.789,0.751,0.26,0.955,0.887,0.792
