regime,seed,configuration,final_train_objective,final_test_ce,final_test_accuracy,final_worst_class_accuracy,whole_train_objective,payload_bits
strong,2500,events,0.5377878530502319,0.5721572041511536,0.7946,0.381,0.847095582641874,17210985
strong,2500,ef_0p5,0.6357587827682495,0.6656528115272522,0.7498,0.374,1.0756216394696916,8072632
strong,2500,ef_2p5,0.5797120354652405,0.6142299771308899,0.7672,0.38,0.9388973348276958,40141992
strong,2500,full,0.5880695120811462,0.6290695071220398,0.7496,0.225,0.8711374224049704,1118379264
strong,2600,events,0.5442675672531128,0.5812699794769287,0.7868,0.442,0.8131964341367993,17752920
strong,2600,ef_0p5,0.8617907908439636,0.8987550735473633,0.6904,0.166,1.08336286785262,8072632
strong,2600,ef_2p5,0.5896800916671753,0.6262524724006653,0.768,0.238,0.9429600486619132,40141992
strong,2600,full,0.6442721076965332,0.6756047606468201,0.7577,0.186,0.9858154424054284,1118379264
iid,2400,events,0.5683950876235961,0.5782186388969421,0.7916,0.498,0.9298681668349674,6546675
iid,2400,ef_0p5,0.6181744407653809,0.6240246295928955,0.7718,0.296,1.0840169221605576,8072632
iid,2400,ef_2p5,0.5808040293693543,0.5830891728401184,0.7855,0.304,0.9662407124996184,40141992
iid,2400,full,0.5529474403381348,0.557637095451355,0.7965,0.473,0.9286450709411076,1118379264
moderate,2400,events,0.5219256652832032,0.5425878167152405,0.8059,0.551,0.8475292371409281,12451245
moderate,2400,ef_0p5,0.6377902798652649,0.6472783088684082,0.7623,0.293,1.093242127071108,8072632
moderate,2400,ef_2p5,0.5895804835319519,0.5955853462219238,0.7802,0.32,0.981481555707114,40141992
moderate,2400,full,0.5386486026763916,0.5550601482391357,0.7974,0.458,0.8935589252608163,1118379264
