audited_rounds,weighted_alignment_ratio,positive_alignment_fraction,objective_decrease_fraction,positive_without_descent_fraction,late_alignment_ratio,late_objective_decrease_fraction,harmful_mass_share,event_local_mass_fraction,ideal_local_ratio,memory_penalty_ratio,local_drift_ratio,heterogeneity_ratio,mean_curvature_remainder,mean_coordinate_events_per_audit,mean_aggregate_energy,mean_cancellation_fraction,max_memory_opposition_penalty,defect_to_target_fraction,max_alignment_identity_error,max_decomposition_identity_error,max_update_reconstruction_error,min_defect_bound_slack,regime,local_steps,partition_seed,train_seed,audit_stride,audit_protocol,reference_per_client,final_train_objective,final_test_ce,final_test_accuracy,final_worst_class_accuracy,coordinate_events_total,uplink_packetized_bits,unicast_hybrid_total_bits
31,10.09761124534974,0.935483870967742,0.935483870967742,0.0,15.617161066034557,1.0,0.0233700269070061,0.0057121597365424,32.16717984294392,0.0,-21.76119667542113,-0.3083719221730551,0.0003957724293561,431.61290322580646,545.741935483871,0.0008915593879285,0.0,0.2846393570283594,0.0,0.0,1.862645149230957e-09,0.0,iid,1,2500,72500,5,independent_single_round_replay,6000,0.7917701930999755,0.8101102709770203,0.7166,0.246,65908,1146112,20917632
31,10.108446720583444,0.967741935483871,0.967741935483871,0.0,14.78176301623226,1.0,0.021172190895979,0.005347691764144,31.5602578721365,0.0,-21.24414705485273,-0.2076640967003251,0.0003798795234178,402.258064516129,512.7741935483871,0.0064894594253337,0.0,0.3123571757403109,0.0,0.0,1.862645149230957e-09,0.0,iid,1,2600,72600,5,independent_single_round_replay,6000,0.8104186166763305,0.8048673868179321,0.7107,0.179,63508,1107392,20491712
31,10.142705907251036,0.967741935483871,0.967741935483871,0.0,14.071212158823284,1.0,0.0253462172268061,0.0056794274773167,32.66141960906172,0.0,-22.22451949331064,-0.2941942085000397,0.0003996908368464,427.9354838709677,536.7096774193549,0.0005873596159883,0.0,0.2995776068386427,0.0,0.0,1.862645149230957e-09,0.0,iid,1,2700,72700,5,independent_single_round_replay,6000,0.7957620315551758,0.8006651401519775,0.7184,0.278,65697,1142352,20876272
31,45.68277573480203,1.0,0.967741935483871,0.032258064516129,18.33561095278233,0.9,0.0692697003823333,0.0191576453743444,109.3095244051978,0.0,-58.19529542386959,-5.4314532465261705,0.0072282033689424,1751.1935483870968,2869.709677419354,0.0299599603085427,0.0,0.2083663347263751,1.1102230246251563e-16,0.0,6.186113665762606e-08,1.4774732562727875e-05,iid,5,2500,72500,5,independent_single_round_replay,6000,0.4467611361980438,0.4767237305641174,0.8312,0.488,256069,4192720,54430320
31,47.10519617596956,1.0,0.935483870967742,0.064516129032258,22.34767201733379,0.8,0.0751042570996182,0.0187359064038621,109.54712131428946,0.0,-56.95616538755262,-5.485759750767265,0.0077662936038382,1718.0,2911.483870967742,0.0164658596555921,0.0,0.2112615847939467,1.1102230246251563e-16,0.0,6.300037824757966e-08,0.0,iid,5,2600,72600,5,independent_single_round_replay,6000,0.4763472232818603,0.4777374863624573,0.8323,0.483,256668,4202112,54533632
31,44.54781495282599,1.0,1.0,0.0,18.45098589076294,1.0,0.0735691123337298,0.0186132483426993,107.9957064635281,0.0,-58.2551338776613,-5.192757633040805,0.0062457641853561,1684.3870967741937,2779.6774193548385,0.016955311108184,0.0,0.2094525017627485,2.220446049250313e-16,2.220446049250313e-16,6.35213908140031e-08,0.000147913233377,iid,5,2700,72700,5,independent_single_round_replay,6000,0.4443309990882873,0.4768520891666412,0.8315,0.525,251844,4124928,53684608
31,18.61238159020753,0.967741935483871,0.8064516129032258,0.1612903225806451,18.69478601250485,0.6,0.3066916407556461,0.0581054412962047,446.5209720853098,0.0,-89.81418141904338,-338.0944090760589,0.0091096641856601,3371.032258064516,3226.8387096774195,0.1175065079818867,0.0,0.1215702940721053,8.881784197001252e-16,1.9539925233402755e-14,1.31708899342442e-09,0.4055964648723602,strong,1,2500,72500,5,independent_single_round_replay,6000,0.7862091835021973,0.800563633441925,0.7242,0.176,495026,8016416,96490976
31,20.59460578053526,0.967741935483871,0.9032258064516128,0.064516129032258,27.16479432459583,0.9,0.2981753351370517,0.056980998062284,456.3461011422789,0.0,-87.28680406820708,-348.46469129353665,0.0093728713453469,3339.1290322580644,3249.903225806452,0.1094805400457022,0.0,0.1405939383853083,4.440892098500626e-16,1.7763568394002505e-14,2.082500616396032e-09,0.4109677225351333,strong,1,2600,72600,5,independent_single_round_replay,6000,0.7611947431564331,0.7819592952728271,0.7386,0.205,519384,8406080,100777280
31,21.569645485663862,1.0,0.8709677419354839,0.1290322580645161,34.251720442017714,0.8,0.293480445345992,0.0578383492921897,526.5598165616257,0.0,-108.60262781242808,-396.3875432635338,0.0114635442168243,3470.2903225806454,3375.3870967741937,0.1116469159467716,0.0,0.1675589872829704,4.440892098500626e-16,1.7763568394002505e-14,1.31708899342442e-09,0.0048982193976661,strong,1,2700,72700,5,independent_single_round_replay,6000,0.7614466374397277,0.7919226288795471,0.7146,0.224,526542,8520672,102037792
31,36.41927239749283,0.967741935483871,0.6129032258064516,0.3548387096774194,31.333608258119085,0.5,0.3127268853783924,0.074955211089129,342.3375821994669,0.0,432.56473720228473,-738.4830470042584,0.0160621395869557,6467.354838709677,6351.612903225807,0.1547503557582508,0.0,0.1785900990513258,3.552713678800501e-15,3.0198066269804264e-14,2.7939677238464355e-09,17.002662209600608,strong,5,2500,72500,5,independent_single_round_replay,6000,0.4456064649105072,0.4772656261920929,0.8313,0.54,993627,15994032,184244752
31,34.92770922903739,1.0,0.6774193548387096,0.3225806451612903,30.53247292146065,0.5,0.3050068333028328,0.0770859125744845,309.71746662803275,0.0,387.5431782029618,-662.3329356019572,0.0170056102910874,6502.354838709677,6367.580645161291,0.1572033254601907,0.0,0.1078482904904305,3.552713678800501e-15,2.664535259100376e-14,4.5625303535246076e-09,17.93321117850659,strong,5,2600,72600,5,independent_single_round_replay,6000,0.4433306695461273,0.4771980345249176,0.8324,0.542,977458,15735328,181399008
31,35.92798256351703,1.0,0.7419354838709677,0.2580645161290322,24.670451927513128,0.7,0.3127481722866381,0.0759188257147237,323.00933362934694,0.0,413.9610738697518,-701.0424249355817,0.0166102846455885,6519.064516129032,6390.419354838709,0.1531483610357603,0.0,0.1143182386796848,1.7763568394002505e-15,3.5527136788005016e-14,5.890201215663637e-09,16.658619451364878,strong,5,2700,72700,5,independent_single_round_replay,6000,0.4196522421360016,0.4769613146781921,0.8328,0.602,998215,16067440,185052240
