factor,from,to,metric,n_pairs,mean_paired_difference,std_paired_difference,paired_t95_low,paired_t95_high,positive_pairs,negative_pairs,zero_pairs,min_paired_difference,max_paired_difference
heterogeneity,iid_e1,strong_e1,weighted_alignment_ratio,10,9.778330854609084,0.9373335126625468,9.107802853145149,10.44885885607302,10,0,0,8.51477034485779,11.426939578412826
heterogeneity,iid_e1,strong_e1,positive_alignment_fraction,10,0.016129032258064502,0.022809896167307966,-0.00018818448928036025,0.032446249005409364,4,0,6,0.0,0.06451612903225801
heterogeneity,iid_e1,strong_e1,objective_decrease_fraction,10,-0.08709677419354847,0.04037630829143781,-0.11598024516669861,-0.05821330322039833,0,10,0,-0.16129032258064524,-0.032258064516129004
heterogeneity,iid_e1,strong_e1,positive_without_descent_fraction,10,0.10322580645161286,0.045110057985812975,0.07095601494354056,0.13549559795968516,10,0,0,0.032258064516129,0.1612903225806451
heterogeneity,iid_e1,strong_e1,late_alignment_ratio,10,9.060459569586058,4.835946262880338,5.601032013619076,12.51988712555304,10,0,0,3.0776249464702925,20.180508283194428
heterogeneity,iid_e1,strong_e1,late_objective_decrease_fraction,10,-0.22999999999999998,0.10593499054713805,-0.3057813270699156,-0.15421867293008434,0,10,0,-0.4,-0.09999999999999998
heterogeneity,iid_e1,strong_e1,harmful_mass_share,10,0.27601923911656706,0.007134553548320225,0.27091548696488776,0.28112299126824636,10,0,0,0.2651168979777172,0.2875505436348223
heterogeneity,iid_e1,strong_e1,event_local_mass_fraction,10,0.051816184373922325,0.0013102235222663026,0.050878906928927624,0.052753461818917026,10,0,0,0.0499985423831824,0.0546108265536644
heterogeneity,iid_e1,strong_e1,ideal_local_ratio,10,427.9068641495087,26.7062579486004,408.8023580938266,447.01137020519076,10,0,0,398.0105749231245,493.8983969525639
heterogeneity,iid_e1,strong_e1,memory_penalty_ratio,10,0.0,0.0,0.0,0.0,0,0,10,0.0,0.0
heterogeneity,iid_e1,strong_e1,local_drift_ratio,10,-68.06890514345145,8.626527376927264,-74.2399510769253,-61.8978592099776,0,10,0,-86.37810831911744,-54.48581075177988
heterogeneity,iid_e1,strong_e1,heterogeneity_ratio,10,-350.05962815144824,18.162068056302854,-363.05198896190507,-337.0672673409914,0,10,0,-396.0933490550338,-334.52552288907003
heterogeneity,iid_e1,strong_e1,mean_curvature_remainder,10,0.009187244451895601,0.0010008052195015537,0.008471311526611786,0.009903177377179417,10,0,0,0.0079601847291736,0.0110638533799779
heterogeneity,iid_e1,strong_e1,mean_coordinate_events_per_audit,10,2942.2709677419357,96.40695337492897,2873.3055878633327,3011.2363476205387,10,0,0,2810.5483870967746,3093.483870967742
heterogeneity,iid_e1,strong_e1,mean_aggregate_energy,10,2712.716129032258,103.10005086282787,2638.9627956434724,2786.4694624210433,10,0,0,2558.903225806452,2840.1935483870966
heterogeneity,iid_e1,strong_e1,mean_cancellation_fraction,10,0.1127329836100706,0.005801360868422392,0.10858294004892163,0.11688302717121957,10,0,0,0.10299108062036849,0.1210019765722689
heterogeneity,iid_e1,strong_e1,max_memory_opposition_penalty,10,0.0,0.0,0.0,0.0,0,0,10,0.0,0.0
heterogeneity,iid_e1,strong_e1,defect_to_target_fraction,10,-0.15624815684870555,0.026225429916903364,-0.17500869925133755,-0.13748761444607355,0,10,0,-0.18910440948922833,-0.11744082579416301
heterogeneity,iid_e1,strong_e1,final_test_ce,10,-0.019686734676361083,0.010860367718560176,-0.027455773725017486,-0.011917695627704679,0,10,0,-0.041223227977752686,-0.005616247653961182
heterogeneity,iid_e1,strong_e1,final_test_accuracy,10,0.014920000000000022,0.011536974377096363,0.006666945705546264,0.02317305429445378,9,1,0,-0.0038000000000000256,0.03070000000000006
heterogeneity,iid_e1,strong_e1,final_worst_class_accuracy,10,0.0359,0.07200841000265949,-0.015611713382066746,0.08741171338206674,7,3,0,-0.07,0.14599999999999996
heterogeneity,iid_e1,strong_e1,coordinate_events_total,10,453449.2,11772.26126489252,445027.83160548116,461870.56839451886,10,0,0,429118.0,464261.0
heterogeneity,iid_e1,strong_e1,uplink_packetized_bits,10,7259955.2,188375.0318987218,7125199.820022213,7394710.579977787,10,0,0,6870304.0,7432784.0
heterogeneity,iid_e1,strong_e1,unicast_hybrid_total_bits,10,79859507.2,2072125.3508859393,78377198.02024435,81341816.37975566,10,0,0,75573344.0,81760624.0
heterogeneity,iid_e5,strong_e5,weighted_alignment_ratio,10,-9.90892464073105,1.8405471950822814,-11.225572787464795,-8.592276493997304,0,10,0,-12.389066561066734,-6.903087310988425
heterogeneity,iid_e5,strong_e5,positive_alignment_fraction,10,0.0,0.030413194889743953,-0.021756288996459816,0.021756288996459816,2,3,5,-0.032258064516129004,0.06451612903225801
heterogeneity,iid_e5,strong_e5,objective_decrease_fraction,10,-0.2516129032258065,0.09831509204870933,-0.32194328328221355,-0.18128252316939944,0,10,0,-0.4516129032258065,-0.09677419354838712
heterogeneity,iid_e5,strong_e5,positive_without_descent_fraction,10,0.25161290322580643,0.0884077625423418,0.1883697997513271,0.3148560067002858,10,0,0,0.0967741935483871,0.4193548387096774
heterogeneity,iid_e5,strong_e5,late_alignment_ratio,10,7.662700337029231,4.567108658980989,4.39558761759139,10.929813056467072,9,1,0,-3.80228713047466,12.997997305336757
heterogeneity,iid_e5,strong_e5,late_objective_decrease_fraction,10,-0.4,0.2,-0.5430713811905145,-0.2569286188094856,0,10,0,-0.8,-0.20000000000000007
heterogeneity,iid_e5,strong_e5,harmful_mass_share,10,0.23497928545632973,0.006838034445812801,0.230087650292376,0.23987092062028348,10,0,0,0.2239060248608983,0.24432041688417716
heterogeneity,iid_e5,strong_e5,event_local_mass_fraction,10,0.056424421412169724,0.0013579517624433993,0.05545300124095537,0.05739584158338408,10,0,0,0.0548618110110717,0.058514307302319206
heterogeneity,iid_e5,strong_e5,ideal_local_ratio,10,203.09751391155896,22.417914582443732,187.06070389795298,219.13432392516495,10,0,0,161.1262480320743,233.0280577942691
heterogeneity,iid_e5,strong_e5,memory_penalty_ratio,10,0.0,0.0,0.0,0.0,0,0,10,0.0,0.0
heterogeneity,iid_e5,strong_e5,local_drift_ratio,10,459.62868874462464,25.795001093089052,441.17605657362924,478.08132091562004,10,0,0,423.8311765463784,507.840761902652
heterogeneity,iid_e5,strong_e5,heterogeneity_ratio,10,-672.6351272969146,44.63357935768772,-704.5640665278187,-640.7061880660104,0,10,0,-740.1635567341099,-610.3346090069161
heterogeneity,iid_e5,strong_e5,mean_curvature_remainder,10,0.009516174971444911,0.0012833057694040008,0.00859815332685298,0.010434196616036843,10,0,0,0.0075756767354375,0.011475120563702902
heterogeneity,iid_e5,strong_e5,mean_coordinate_events_per_audit,10,4704.335483870968,100.10803413936578,4632.722510308037,4775.948457433899,10,0,0,4496.096774193549,4834.677419354839
heterogeneity,iid_e5,strong_e5,mean_aggregate_energy,10,3459.7870967741937,104.63989331281365,3384.9322264547322,3534.6419670936552,10,0,0,3273.2580645161293,3610.7419354838707
heterogeneity,iid_e5,strong_e5,mean_cancellation_fraction,10,0.13564754712562924,0.0047345065715471,0.13226068515339517,0.1390344090978633,10,0,0,0.1247903954497081,0.1421453897322579
heterogeneity,iid_e5,strong_e5,max_memory_opposition_penalty,10,0.0,0.0,0.0,0.0,0,0,10,0.0,0.0
