round,jump,reference_size,reference_objective_before,reference_objective_after,objective_change,gradient_sq_norm,gradient_norm,coordinate_events,aggregate_nonzeros,aggregate_l1,aggregate_energy,event_energy_ratio,cancellation_fraction,descent_mass,harmful_mass,net_alignment,inner_product_alignment,alignment_identity_error,alignment_ratio,harmful_share,first_order_change,curvature_remainder,objective_decreased,net_alignment_positive,update_reconstruction_error,ideal_local_mass,memory_opposition_penalty,local_drift_term,heterogeneity_term,silent_local_mass,event_local_mass_fraction,decomposition_alignment,decomposition_identity_error,kappa_gradient_sq,defect,coverage_deficit,memory_penalty,drift_penalty,heterogeneity_penalty,defect_upper_bound,defect_bound_slack,regime,local_steps,partition_seed,train_seed
1.0,0.0049950273089797445,60000.0,2.305176560688019,2.3051765731334686,1.2445449559805866e-08,0.6123968140337203,0.7825578662525349,10.0,10.0,10.0,10.0,0.1,0.0,0.019782862160354853,0.019782892428338528,-3.026798367500305e-08,-3.026798367500305e-08,0.0,-4.942544275440403e-08,0.5000003825022926,1.5118940504439334e-10,1.2294260154761472e-08,0.0,0.0,0.0,4.819339420646429,0.0,-0.3201025687158108,-4.499236882198602,2715.0156473446327,0.0017719234600986242,-3.026798367500305e-08,0.0,4.899174512269762,4.899174542537746,0.07983509162333302,0.0,0.3201025687158108,4.499236882198602,4.899174542537746,0.0,strong,1,3200,73200
5.0,0.004975664333249537,60000.0,2.297479500579834,2.295030547094345,-0.002448953485489014,0.5412378282830328,0.7356886761960068,402.0,350.0,356.0,370.0,0.09203980099502487,0.11442786069651745,1.1810319625994197,0.268992691020685,0.9120392715787347,0.9120392715787347,0.0,1.6850989046201634,0.1855090465869824,-0.004538001274117198,0.0020890477886281846,1.0,1.0,0.0,27.130571177694947,0.0,-1.5108288900228217,-24.70770301609339,2457.2996610830955,0.0109202387031841,0.9120392715787347,0.0,4.329902626264262,3.4178633546855277,0.0,0.0,1.5108288900228217,24.70770301609339,26.218531906116212,22.800668551430682,strong,1,3200,73200
10.0,0.004952571291072609,60000.0,2.21391978135109,2.185965064144135,-0.02795471720695497,0.3429321538174575,0.5856040930675412,2998.0,2230.0,2400.0,2758.0,0.09199466310873916,0.19946631087391598,10.095653407715748,2.743701552088538,7.35195185562721,7.35195185562721,0.0,21.438502554475097,0.21369465683269506,-0.03641106569352731,0.00845634848657234,1.0,1.0,0.0,88.41159016592428,0.0,-7.836388424397228,-73.22324988589985,1417.8027458207487,0.05869788120693239,7.351951855627206,3.552713678800501e-15,2.74345723053966,0.0,0.0,0.0,7.836388424397228,73.22324988589985,81.05963831029707,81.05963831029707,strong,1,3200,73200
15.0,0.004930605096731035,60000.0,2.0966679276943205,2.057004090213776,-0.03966383748054447,0.4202185591701276,0.6482426699702262,2975.0,2503.0,2655.0,2991.0,0.10053781512605042,0.10756302521008398,12.8013961549445,2.4600801290930603,10.341316025851441,10.341316025851441,0.0,24.609374812654828,0.1611954232544418,-0.05098894550396944,0.01132510802342497,1.0,1.0,0.0,91.79862363933353,0.0,-9.160458579848637,-72.29684903363345,1432.4751395808357,0.06022449894131908,10.341316025851441,0.0,3.361748473361021,0.0,0.0,0.0,9.160458579848637,72.29684903363345,81.45730761348209,81.45730761348209,strong,1,3200,73200
20.0,0.004909665222809563,60000.0,1.8899244640350346,1.8600117170333863,-0.029912747001648254,0.32641155394510757,0.5713243859184619,2990.0,2562.0,2668.0,2898.0,0.09692307692307692,0.10769230769230764,10.165377002113045,2.6052497701837525,7.560127231929293,7.560127231929293,0.0,23.161334641973717,0.2040032816427849,-0.037117693750618776,0.007204946748970521,1.0,1.0,0.0,69.83350702736061,0.0,-5.748207945784088,-56.52517184964723,1299.0200348405415,0.05101605459709562,7.560127231929293,0.0,2.6112924315608605,0.0,0.0,0.0,5.748207945784088,56.52517184964723,62.27337979543132,62.27337979543132,strong,1,3200,73200
25.0,0.004889663842714643,60000.0,1.7431123996734623,1.7203370388984678,-0.022775360774994535,0.3136116182310635,0.5600103733245158,3319.0,2712.0,2885.0,3257.0,0.09813196746007834,0.13076227779451643,10.749011539874198,4.045029944190616,6.703981595683582,6.703981595683582,0.0,21.376700370661037,0.27342291479631586,-0.03278021641063843,0.010004855635643892,1.0,1.0,9.313225746154785e-10,82.7161231014179,0.0,-7.558609311585315,-68.453532194149,1260.9592438054278,0.06155960370980921,6.703981595683587,4.440892098500626e-15,2.508892945848508,0.0,0.0,0.0,7.558609311585315,68.453532194149,76.01214150573432,76.01214150573432,strong,1,3200,73200
30.0,0.004870523791274274,60000.0,1.6138013730049132,1.5895435616493225,-0.024257811355590686,0.24881570047575924,0.4988142945784125,2892.0,2476.0,2576.0,2816.0,0.09737206085753804,0.1092669432918395,8.820777325078105,2.9036158903345264,5.917161434743578,5.917161434743578,0.0,23.781302479825044,0.24765596282778168,-0.028819675544729216,0.00456186418913853,1.0,1.0,0.0,68.86224626621697,0.0,-2.5934351570904255,-60.35164967438297,1192.9704287630466,0.054573199465309426,5.917161434743576,1.7763568394002505e-15,1.990525603806074,0.0,0.0,0.0,2.5934351570904255,60.35164967438297,62.945084831473395,62.945084831473395,strong,1,3200,73200
35.0,0.00485217691736981,60000.0,1.5034075104713442,1.4800256422042848,-0.023381868267059458,0.1995725316125701,0.4467354156685701,3114.0,2632.0,2744.0,2982.0,0.09576107899807322,0.11881824020552345,9.417652124763446,3.2369618615166296,6.180690263246817,6.180690263246816,8.881784197001252e-16,30.969644035209125,0.2557930147080022,-0.02998980262873854,0.006607934361679082,1.0,1.0,0.0,87.71428667532746,0.0,-14.76161938524092,-66.77197702683972,1324.631028740073,0.06210541127438713,6.180690263246817,0.0,1.5965802529005608,0.0,0.0,0.0,14.76161938524092,66.77197702683972,81.53359641208064,81.53359641208064,strong,1,3200,73200
40.0,0.004834562741728745,60000.0,1.4208686017036443,1.4026573856353761,-0.018211216068268143,0.1949065013072494,0.4414821642006044,3540.0,2941.0,3140.0,3548.0,0.10022598870056497,0.11299435028248583,10.535658412487361,3.190734772341113,7.3449236401462485,7.3449236401462485,0.0,37.68434398485126,0.2324525262665339,-0.035509494171493725,0.01729827810322558,1.0,1.0,0.0,107.73562590620713,0.0,-24.815877109154826,-75.57482515690606,1284.3005765746739,0.07739427014484333,7.3449236401462485,0.0,1.5592520104579952,0.0,0.0,0.0,24.815877109154826,75.57482515690606,100.39070226606088,100.39070226606088,strong,1,3200,73200
45.0,0.004817627354629756,60000.0,1.3534399472236633,1.3425090885162354,-0.010930858707427937,0.1635178690682569,0.40437342774749296,2696.0,2179.0,2268.0,2458.0,0.09117210682492581,0.15875370919881304,6.2379921005815415,3.173254335151828,3.0647377654297134,3.0647377654297134,0.0,18.742525100730163,0.3371768401583199,-0.014764764493501059,0.003833905786073122,1.0,1.0,0.0,66.07418898347532,0.0,-1.1472817733947522,-61.86216944465086,1128.8447044333338,0.055295961380725664,3.0647377654297117,1.7763568394002505e-15,1.3081429525460553,0.0,0.0,0.0,1.1472817733947522,61.86216944465086,63.00945121804561,63.00945121804561,strong,1,3200,73200
