round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,2.948330435271427,2.523760144042969,2.541531408691406,0.1,0.10000000149011612,0.0,56083200,11216640,112166720,0,10,0,1,0,10,56083200,1.5921275615692139,175258,0.9444033000618219,dense_g15,dense,4100,94100,dense-audit-r900
15,2.598477337154586,2.176354992675781,2.171013232421875,0.1631,0.163100004196167,0.0,841248000,89733120,897336000,0,150,0,15,0,10,56083200,0.12174222618341446,175258,11.135859200265259,dense_g15,dense,4100,94100,dense-audit-r900
30,2.4634726474723183,2.0435053833007815,2.036403558349609,0.2291,0.22909998893737793,0.0,1682496000,173857920,1738588800,0,300,0,30,0,10,56083200,0.0949799045920372,175258,21.967074600048363,dense_g15,dense,4100,94100,dense-audit-r900
45,2.3917316974852056,1.9738157104492187,1.967507843017578,0.2622,0.2621999979019165,0.04800000041723251,2523744000,257982720,2579841600,0,450,0,45,0,10,56083200,0.11351385712623596,175258,32.73383279982954,dense_g15,dense,4100,94100,dense-audit-r900
60,2.3148359660251883,1.89894384765625,1.8952283935546874,0.3172,0.3172000050544739,0.026000000536441803,3364992000,342107520,3421094400,0,600,0,60,0,10,56083200,0.08116351813077927,175258,43.683490899857134,dense_g15,dense,4100,94100,dense-audit-r900
75,2.269935238130385,1.856031640625,1.8552448974609375,0.3145,0.31450003385543823,0.03500000014901161,4206240000,426232320,4262347200,0,750,0,75,0,10,56083200,0.08634296804666519,175258,54.51967900013551,dense_g15,dense,4100,94100,dense-audit-r900
90,2.234544539991359,1.822590576171875,1.8214937255859376,0.3533,0.3533000349998474,0.20499999821186066,5047488000,510357120,5103600000,0,900,0,90,0,10,56083200,0.0952080488204956,175258,65.15991730010137,dense_g15,dense,4100,94100,dense-audit-r900
105,2.1987725245001726,1.7886836791992187,1.7890697143554688,0.3667,0.36670002341270447,0.03700000047683716,5888736000,594481920,5944852800,0,1050,0,105,0,10,56083200,0.13854342699050903,175258,76.09243249986321,dense_g15,dense,4100,94100,dense-audit-r900
120,2.1479285599298192,1.7396630126953125,1.7345264190673828,0.3839,0.3839000165462494,0.1379999965429306,6729984000,678606720,6786105600,0,1200,0,120,0,10,56083200,0.0867825299501419,175258,86.70659149996936,dense_g15,dense,4100,94100,dense-audit-r900
135,2.110885980803508,1.704409228515625,1.7043466094970703,0.3896,0.38960000872612,0.12999999523162842,7571232000,762731520,7627358400,0,1350,0,135,0,10,56083200,0.12468058615922928,175258,97.30391460005194,dense_g15,dense,4100,94100,dense-audit-r900
