round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,3.108437148620509,2.6838726806640625,2.696157891845703,0.099,0.0989999994635582,0.0,56083200,11216640,112166720,0,10,0,1,0,10,56083200,1.5835152864456177,175258,0.5988749999996799,dense_g15,dense,4200,94200,heldout-r1800
15,2.593185918341625,2.1710789428710937,2.1660049072265624,0.2226,0.22259998321533203,0.0,841248000,89733120,897336000,0,150,0,15,0,10,56083200,0.11020772159099579,175258,7.471708699998999,dense_g15,dense,4200,94200,heldout-r1800
30,2.4737328529341625,2.053788293457031,2.0424939208984374,0.2583,0.2583000361919403,0.012000000104308128,1682496000,173857920,1738588800,0,300,0,30,0,10,56083200,0.09983259439468384,175258,14.808179999999993,dense_g15,dense,4200,94200,heldout-r1800
45,2.396910663300092,1.9790198974609374,1.970532684326172,0.2753,0.275299996137619,0.01899999938905239,2523744000,257982720,2579841600,0,450,0,45,0,10,56083200,0.0973183736205101,175258,22.099793000001227,dense_g15,dense,4200,94200,heldout-r1800
60,2.328453505362483,1.912583935546875,1.9035218811035157,0.3034,0.3034000098705292,0.06400000303983688,3364992000,342107520,3421094400,0,600,0,60,0,10,56083200,0.06926444172859192,175258,29.388676399998076,dense_g15,dense,4200,94200,heldout-r1800
75,2.283934367867693,1.87006123046875,1.8631261962890624,0.3167,0.3166999816894531,0.024000000208616257,4206240000,426232320,4262347200,0,750,0,75,0,10,56083200,0.1193670704960823,175258,36.702158600000985,dense_g15,dense,4200,94200,heldout-r1800
90,2.2493027127752723,1.8373352661132814,1.8256707550048827,0.3424,0.3424000144004822,0.10899999737739563,5047488000,510357120,5103600000,0,900,0,90,0,10,56083200,0.09189251065254211,175258,44.08895240000129,dense_g15,dense,4200,94200,heldout-r1800
105,2.182422981911467,1.7723035400390625,1.768253955078125,0.3731,0.37310001254081726,0.06400000303983688,5888736000,594481920,5944852800,0,1050,0,105,0,10,56083200,0.10515516251325607,175258,51.45330499999909,dense_g15,dense,4200,94200,heldout-r1800
120,2.155524401666422,1.747243896484375,1.7463004974365235,0.3802,0.38019999861717224,0.1899999976158142,6729984000,678606720,6786105600,0,1200,0,120,0,10,56083200,0.11840607970952988,175258,58.76692220000041,dense_g15,dense,4200,94200,heldout-r1800
135,2.117492113016313,1.7109443359375,1.7067093170166017,0.3917,0.39170002937316895,0.0820000022649765,7571232000,762731520,7627358400,0,1350,0,135,0,10,56083200,0.11014530807733536,175258,66.11941719999959,dense_g15,dense,4200,94200,heldout-r1800
150,2.0913536478755415,1.68654736328125,1.6834880004882813,0.3957,0.39570003747940063,0.07999999821186066,8412480000,846856320,8468611200,0,1500,0,150,0,10,56083200,0.10711073130369186,175258,73.44238469999982,dense_g15,dense,4200,94200,heldout-r1800
165,2.0527234233246183,1.6496423706054688,1.639007632446289,0.4151,0.41510000824928284,0.18199999630451202,9253728000,930981120,9309864000,0,1650,0,165,0,10,56083200,0.11340709775686264,175258,80.75829789999989,dense_g15,dense,4200,94200,heldout-r1800
180,2.037295280119544,1.6359203125,1.6286239929199218,0.4197,0.4196999967098236,0.21699999272823334,10094976000,1015105920,10151116800,0,1800,0,180,0,10,56083200,0.15155933797359467,175258,88.08780699999988,dense_g15,dense,4200,94200,heldout-r1800
195,1.9920235377863982,1.5923403442382813,1.5869378601074218,0.4243,0.42430001497268677,0.1550000011920929,10936224000,1099230720,10992369600,0,1950,0,195,0,10,56083200,0.10780651867389679,175258,95.44978039999842,dense_g15,dense,4200,94200,heldout-r1800
210,1.98302564497143,1.5849994140625,1.5837050354003905,0.4285,0.4284999966621399,0.1550000011920929,11777472000,1183355520,11833622400,0,2100,0,210,0,10,56083200,0.10926464200019836,175258,102.78735759999836,dense_g15,dense,4200,94200,heldout-r1800
225,1.9695316344197376,1.5731341430664063,1.5795953887939453,0.4258,0.42579999566078186,0.14000000059604645,12618720000,1267480320,12674875200,0,2250,0,225,0,10,56083200,0.12367580831050873,175258,110.122970299999,dense_g15,dense,4200,94200,heldout-r1800
240,1.9274375731936655,1.532628759765625,1.5346757873535157,0.4497,0.4496999680995941,0.07500000298023224,13459968000,1351605120,13516128000,0,2400,0,240,0,10,56083200,0.09338385611772537,175258,117.46360830000049,dense_g15,dense,4200,94200,heldout-r1800
255,1.9143986586698563,1.5211998413085936,1.5238224609375,0.4555,0.4555000364780426,0.2590000033378601,14301216000,1435729920,14357380800,0,2550,0,255,0,10,56083200,0.11929886043071747,175258,124.81747739999992,dense_g15,dense,4200,94200,heldout-r1800
270,1.9114324930991746,1.5198102294921876,1.5269137084960938,0.4518,0.45180001854896545,0.1589999943971634,15142464000,1519854720,15198633600,0,2700,0,270,0,10,56083200,0.12308105081319809,175258,132.15783139999985,dense_g15,dense,4200,94200,heldout-r1800
285,1.883237578700483,1.4931948974609375,1.5061370239257812,0.4551,0.45510002970695496,0.23399999737739563,15983712000,1603979520,16039886400,0,2850,0,285,0,10,56083200,0.11709703505039215,175258,139.50713299999916,dense_g15,dense,4200,94200,heldout-r1800
300,1.8638761838931592,1.4753447021484376,1.481086801147461,0.4722,0.4722000062465668,0.28200000524520874,16824960000,1688104320,16881139200,0,3000,0,300,0,10,56083200,0.13231417536735535,175258,146.84460209999816,dense_g15,dense,4200,94200,heldout-r1800
315,1.8504420345694759,1.4634495483398438,1.472719320678711,0.4636,0.4635999798774719,0.1979999989271164,17666208000,1772229120,17722392000,0,3150,0,315,0,10,56083200,0.11935783177614212,175258,154.19838710000113,dense_g15,dense,4200,94200,heldout-r1800
330,1.8295774610605091,1.4441098266601562,1.4532828002929687,0.4744,0.47440004348754883,0.2290000021457672,18507456000,1856353920,18563644800,0,3300,0,330,0,10,56083200,0.12364638596773148,175258,161.5838259000011,dense_g15,dense,4200,94200,heldout-r1800
345,1.8018375166841551,1.4178693359375,1.4289671783447266,0.4855,0.4855000078678131,0.2370000034570694,19348704000,1940478720,19404897600,0,3450,0,345,0,10,56083200,0.1062416210770607,175258,168.92737409999972,dense_g15,dense,4200,94200,heldout-r1800
360,1.7895125630339144,1.4070203979492188,1.4186961151123048,0.491,0.4909999966621399,0.23100000619888306,20189952000,2024603520,20246150400,0,3600,0,360,0,10,56083200,0.12554208934307098,175258,176.26498189999984,dense_g15,dense,4200,94200,heldout-r1800
375,1.7885877021326217,1.4076012939453124,1.4200470031738281,0.4851,0.48510000109672546,0.21299999952316284,21031200000,2108728320,21087403200,0,3750,0,375,0,10,56083200,0.14522673189640045,175258,183.61919689999922,dense_g15,dense,4200,94200,heldout-r1800
390,1.7574762369251347,1.3779190307617188,1.3949300598144532,0.497,0.4970000386238098,0.22599999606609344,21872448000,2192853120,21928656000,0,3900,0,390,0,10,56083200,0.11802445352077484,175258,190.9770983999988,dense_g15,dense,4200,94200,heldout-r1800
405,1.760683133147098,1.3825407348632812,1.3990349822998047,0.4904,0.4904000461101532,0.1120000034570694,22713696000,2276977920,22769908800,0,4050,0,405,0,10,56083200,0.14778852462768555,175258,198.32991140000013,dense_g15,dense,4200,94200,heldout-r1800
420,1.7215539403858595,1.3448436767578125,1.3664452575683594,0.5111,0.5110999941825867,0.2800000011920929,23554944000,2361102720,23611161600,0,4200,0,420,0,10,56083200,0.11098004132509232,175258,205.67372890000115,dense_g15,dense,4200,94200,heldout-r1800
435,1.738259248678293,1.362930859375,1.3836485595703125,0.4955,0.49549999833106995,0.1860000044107437,24396192000,2445227520,24452414400,0,4350,0,435,0,10,56083200,0.13778068125247955,175258,213.0165417999997,dense_g15,dense,4200,94200,heldout-r1800
450,1.7509759146738797,1.3770016479492186,1.3893295196533204,0.4917,0.4916999936103821,0.23199999332427979,25237440000,2529352320,25293667200,0,4500,0,450,0,10,56083200,0.14039112627506256,175258,220.3732916000008,dense_g15,dense,4200,94200,heldout-r1800
465,1.6924820333990735,1.3198974853515626,1.349982034301758,0.5125,0.512499988079071,0.2549999952316284,26078688000,2613477120,26134920000,0,4650,0,465,0,10,56083200,0.12447240948677063,175258,227.7092894999987,dense_g15,dense,4200,94200,heldout-r1800
480,1.676993622065196,1.3058147216796876,1.3348869201660156,0.5246,0.5246000289916992,0.2879999876022339,26919936000,2697601920,26976172800,0,4800,0,480,0,10,56083200,0.14765912294387817,175258,235.04604489999838,dense_g15,dense,4200,94200,heldout-r1800
495,1.7193427455872299,1.34951025390625,1.369187872314453,0.508,0.5080000162124634,0.24699999392032623,27761184000,2781726720,27817425600,0,4950,0,495,0,10,56083200,0.159344881772995,175258,242.38372900000104,dense_g15,dense,4200,94200,heldout-r1800
510,1.6564006468821317,1.28789111328125,1.3147925842285155,0.5255,0.5254999995231628,0.25200000405311584,28602432000,2865851520,28658678400,0,5100,0,510,0,10,56083200,0.13537299633026123,175258,249.73995959999957,dense_g15,dense,4200,94200,heldout-r1800
525,1.64361291173771,1.2764227416992187,1.308496563720703,0.5346,0.5345999598503113,0.2980000078678131,29443680000,2949976320,29499931200,0,5250,0,525,0,10,56083200,0.15653660893440247,175258,257.0758836999994,dense_g15,dense,4200,94200,heldout-r1800
540,1.6235094449618366,1.2576221801757812,1.2863899688720704,0.5353,0.5353000164031982,0.289000004529953,30284928000,3034101120,30341184000,0,5400,0,540,0,10,56083200,0.1233331561088562,175258,264.4072761999996,dense_g15,dense,4200,94200,heldout-r1800
555,1.6224610496213194,1.2578696044921875,1.2853030426025391,0.5394,0.539400041103363,0.3089999854564667,31126176000,3118225920,31182436800,0,5550,0,555,0,10,56083200,0.12321179360151291,175258,271.7541478999992,dense_g15,dense,4200,94200,heldout-r1800
570,1.6261607950453647,1.2628373901367187,1.301940237426758,0.5329,0.5328999757766724,0.15800000727176666,31967424000,3202350720,32023689600,0,5700,0,570,0,10,56083200,0.14068131148815155,175258,279.1171495999988,dense_g15,dense,4200,94200,heldout-r1800
585,1.589733751305053,1.227632745361328,1.2650066528320312,0.5445,0.5444999933242798,0.27799999713897705,32808672000,3286475520,32864942400,0,5850,0,585,0,10,56083200,0.13920526206493378,175258,286.45923839999887,dense_g15,dense,4200,94200,heldout-r1800
600,1.5890014802612364,1.2281440673828126,1.2638079803466797,0.5454,0.545400083065033,0.28600001335144043,33649920000,3370600320,33706195200,0,6000,0,600,0,10,56083200,0.13164648413658142,175258,293.79221830000097,dense_g15,dense,4200,94200,heldout-r1800
615,1.5687826154384297,1.2091611083984375,1.2414086639404296,0.5546,0.554599940776825,0.3709999918937683,34491168000,3454725120,34547448000,0,6150,0,615,0,10,56083200,0.1208818331360817,175258,301.13251970000056,dense_g15,dense,4200,94200,heldout-r1800
630,1.5648410626030527,1.2064843444824218,1.2523334167480469,0.5481,0.5480999946594238,0.38600000739097595,35332416000,3538849920,35388700800,0,6300,0,630,0,10,56083200,0.14869722723960876,175258,308.52374019999843,dense_g15,dense,4200,94200,heldout-r1800
645,1.5720343476540408,1.2148901794433593,1.2588074890136718,0.5453,0.5453000068664551,0.32100000977516174,36173664000,3622974720,36229953600,0,6450,0,645,0,10,56083200,0.15437154471874237,175258,316.0282643999999,dense_g15,dense,4200,94200,heldout-r1800
660,1.5423427003952674,1.1863833312988281,1.2249157806396485,0.5626,0.5626000165939331,0.3269999921321869,37014912000,3707099520,37071206400,0,6600,0,660,0,10,56083200,0.13897652924060822,175258,323.5247334000014,dense_g15,dense,4200,94200,heldout-r1800
675,1.5423292204013095,1.1875427673339845,1.2242264404296874,0.5593,0.5593000650405884,0.2980000078678131,37856160000,3791224320,37912459200,0,6750,0,675,0,10,56083200,0.14936503767967224,175258,330.9995959000007,dense_g15,dense,4200,94200,heldout-r1800
690,1.5165320271125062,1.162960186767578,1.2031705413818359,0.5693,0.5692999958992004,0.24799999594688416,38697408000,3875349120,38753712000,0,6900,0,690,0,10,56083200,0.13624665141105652,175258,338.624543599999,dense_g15,dense,4200,94200,heldout-r1800
705,1.495064887735853,1.1426394104003905,1.186776400756836,0.5737,0.5737000107765198,0.39500001072883606,39538656000,3959473920,39594964800,0,7050,0,705,0,10,56083200,0.12268442660570145,175258,346.1262304999982,dense_g15,dense,4200,94200,heldout-r1800
720,1.5157723030630965,1.1644955383300781,1.20793388671875,0.5658,0.5658000111579895,0.335999995470047,40379904000,4043598720,40436217600,0,7200,0,720,0,10,56083200,0.15777315199375153,175258,353.5942176999997,dense_g15,dense,4200,94200,heldout-r1800
735,1.4810415767422878,1.1309330200195313,1.1840320922851562,0.5744,0.574400007724762,0.31700000166893005,41221152000,4127723520,41277470400,0,7350,0,735,0,10,56083200,0.14728109538555145,175258,361.0677977999985,dense_g15,dense,4200,94200,heldout-r1800
750,1.4828504159278701,1.1338916809082031,1.1787419982910157,0.577,0.5770000219345093,0.4059999883174896,42062400000,4211848320,42118723200,0,7500,0,750,0,10,56083200,0.16438028216362,175258,368.7222701999999,dense_g15,dense,4200,94200,heldout-r1800
765,1.4711926952620968,1.123335858154297,1.1734558715820314,0.5809,0.5809000134468079,0.3140000104904175,42903648000,4295973120,42959976000,0,7650,0,765,0,10,56083200,0.1531125158071518,175258,376.178336500001,dense_g15,dense,4200,94200,heldout-r1800
780,1.4645399042032659,1.1177728271484375,1.1662478271484376,0.5828,0.5827999711036682,0.28999999165534973,43744896000,4380097920,43801228800,0,7800,0,780,0,10,56083200,0.14284859597682953,175258,383.6281845000012,dense_g15,dense,4200,94200,heldout-r1800
795,1.4380074596426449,1.0923351623535156,1.1455527587890626,0.5879,0.5878999829292297,0.4399999976158142,44586144000,4464222720,44642481600,0,7950,0,795,0,10,56083200,0.14270766079425812,175258,391.0837050000009,dense_g15,dense,4200,94200,heldout-r1800
810,1.4390647969171404,1.0945097045898438,1.153739617919922,0.5883,0.5882999897003174,0.33899998664855957,45427392000,4548347520,45483734400,0,8100,0,810,0,10,56083200,0.1376427561044693,175258,398.6461237000003,dense_g15,dense,4200,94200,heldout-r1800
825,1.4381035417164676,1.0946280212402344,1.1514495574951171,0.5868,0.5868000388145447,0.28200000524520874,46268640000,4632472320,46324987200,0,8250,0,825,0,10,56083200,0.14423897862434387,175258,406.1117559000013,dense_g15,dense,4200,94200,heldout-r1800
840,1.4145720407504587,1.072185595703125,1.1269531982421874,0.5978,0.5978000164031982,0.29100000858306885,47109888000,4716597120,47166240000,0,8400,0,840,0,10,56083200,0.12282505631446838,175258,414.6018827000007,dense_g15,dense,4200,94200,heldout-r1800
855,1.420857412561681,1.0795017333984376,1.136046450805664,0.5917,0.59170001745224,0.2770000100135803,47951136000,4800721920,48007492800,0,8550,0,855,0,10,56083200,0.15478406846523285,175258,423.91201069999806,dense_g15,dense,4200,94200,heldout-r1800
870,1.4312076871982775,1.090910284423828,1.1347650360107422,0.592,0.5919999480247498,0.40400001406669617,48792384000,4884846720,48848745600,0,8700,0,870,0,10,56083200,0.18072699010372162,175258,432.15999870000087,dense_g15,dense,4200,94200,heldout-r1800
885,1.435679441203363,1.0964139709472656,1.148427032470703,0.5827,0.5827000141143799,0.32600000500679016,49633632000,4968971520,49689998400,0,8850,0,885,0,10,56083200,0.1945231556892395,175258,439.62500809999983,dense_g15,dense,4200,94200,heldout-r1800
