architecture,method,config_name,partition_seed,train_seed,tag,dimension,rounds,local_steps,local_lr,final_train_objective,final_train_ce,final_test_ce,final_test_accuracy,final_macro_accuracy,final_worst_class_accuracy,whole_train_objective,uplink_payload_bits,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,broadcast_total_bits,unicast_hybrid_total_bits,messages,coordinate_events,events_per_message,mean_delta_norm,replay_rounds,checkpoint_rounds,rho,threshold,jump0,jump_exponent,topk_fraction,strom_threshold,init_scale,server_gain,elapsed_seconds,seconds_per_round,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
cifar_resnet14_groupnorm_torch,dense,dense_g15,4100,94100,dev-r1800,175258,1800,5,0.05,1.058754932,0.7705087341,0.8697561508,0.6971,0.6970999837,0.4740000069,1.524161309,100948608000,100949760000,10100584320,101006419200,111050344320,201956179200,18000,0,0,0.3023352508,0,1800,0.999,0.025,0.005,0.3,0.01,0.01,1,1.5,995.8367172,0.5532426207,0.7189999819,0.9110000134,0.4740000069,0.5440000296,0.6890000105,0.5559999943,0.8259999752,0.6800000072,0.7889999747,0.7829999924
cifar_resnet14_groupnorm_torch,ef_topk,ef_k025,4100,94100,dev-r1800,175258,1800,5,0.05,1.243055876,0.9237273193,0.9707580292,0.6575,0.657499969,0.4639999866,1.673231893,3942900000,3944052000,3949660320,39497179200,7893712320,43441231200,18000,0,0,0.2871391163,1800,0,0.999,0.025,0.005,0.3,0.025,0.01,1,1,1010.600859,0.5614449219,0.6909999847,0.8450000286,0.4639999866,0.4639999866,0.5189999938,0.5149999857,0.8140000105,0.6919999719,0.7960000038,0.7749999762
cifar_resnet14_groupnorm_torch,ef_topk,ef_k01,4100,94100,dev-r1800,175258,1800,5,0.05,1.275470607,0.9547837891,0.9990653992,0.6445,0.6444999576,0.4399999976,1.707525888,1577700000,1578852000,1584460320,15845179200,3163312320,17424031200,18000,0,0,0.2818095928,1800,0,0.999,0.025,0.005,0.3,0.01,0.01,1,1,1013.137785,0.5628543251,0.6690000296,0.8370000124,0.4480000138,0.4399999976,0.4909999967,0.5590000153,0.7839999795,0.6899999976,0.7850000262,0.7419999838
cifar_resnet14_groupnorm_torch,ef_topk,ef_k005,4100,94100,dev-r1800,175258,1800,5,0.05,1.316964481,0.9920940002,1.028321921,0.6366,0.6366000175,0.4269999862,1.751959022,788400000,789552000,795160320,7952179200,1584712320,8741731200,18000,0,0,0.2779382165,1800,0,0.999,0.025,0.005,0.3,0.005,0.01,1,1,988.4890434,0.5491605797,0.6600000262,0.8289999962,0.4449999928,0.4269999862,0.4790000021,0.5669999719,0.7680000067,0.6869999766,0.7680000067,0.7360000014
cifar_resnet14_groupnorm_torch,event,event_t0125_q005,4100,94100,dev-r1800,175258,1800,5,0.05,0.8594651331,0.4056060699,0.7303783676,0.7543,0.7543000579,0.59799999,1.52721295,1910822229,1911974229,1917582549,19176401490,3829556778,21088375719,18000,100569591,5587.1995,0.3565961095,1800,0,0.999,0.0125,0.005,0.3,0.01,0.01,1,1,1023.294482,0.5684969347,0.7929999828,0.8690000176,0.59799999,0.6340000033,0.7350000143,0.6399999857,0.8230000138,0.7720000148,0.8439999819,0.8349999785
cifar_resnet14_groupnorm_torch,event,event_t025_q01,4100,94100,dev-r1800,175258,1800,5,0.05,0.8492193575,0.4384832764,0.7238741898,0.7527,0.7527000308,0.5640000105,1.576552586,898663653,899815653,905423973,9054815730,1805239626,9954631383,18000,47298087,2627.6715,0.3469312225,1800,0,0.999,0.025,0.01,0.3,0.01,0.01,1,1,1015.774205,0.5643190025,0.82099998,0.8880000114,0.5640000105,0.6370000243,0.7170000076,0.6079999804,0.8539999723,0.7870000005,0.8579999804,0.7929999828
cifar_resnet14_groupnorm_torch,event,event_t025_q005,4100,94100,dev-r1800,175258,1800,5,0.05,0.9731659028,0.6621222107,0.7994419342,0.7179,0.7178999782,0.5600000024,1.448317997,999043693,1000195693,1005804013,10058616130,2005999706,11058811823,18000,52581247,2921.180389,0.2987131612,1800,0,0.999,0.025,0.005,0.3,0.01,0.01,1,1,1029.653208,0.5720295601,0.7950000167,0.90200001,0.5600000024,0.57099998,0.6330000162,0.5659999847,0.8019999862,0.7329999804,0.8169999719,0.8000000119
cifar_resnet14_groupnorm_torch,event,event_t0125_q0025,4100,94100,dev-r1800,175258,1800,5,0.05,1.063381857,0.6938946716,0.8161261703,0.7144,0.7143999934,0.5410000086,1.47911098,2064920855,2066072855,2071681175,20717387750,4137754030,22783460605,18000,108680045,6037.780278,0.3049827241,1800,0,0.999,0.0125,0.0025,0.3,0.01,0.01,1,1,1022.507502,0.5680597233,0.75,0.8840000033,0.5500000119,0.5410000086,0.6470000148,0.5920000076,0.8230000138,0.7239999771,0.8309999704,0.8019999862
cifar_resnet14_groupnorm_torch,event,event_t05_q01,4100,94100,dev-r1800,175258,1800,5,0.05,1.018293738,0.7209744202,0.8060528534,0.7158,0.7158000469,0.5279999971,1.506831385,460358961,461510961,467119281,4671768810,928630242,5133279771,18000,24229419,1346.078833,0.284949849,1800,0,0.999,0.05,0.01,0.3,0.01,0.01,1,1,1015.773507,0.5643186149,0.7699999809,0.8960000277,0.5279999971,0.5860000253,0.7039999962,0.5849999785,0.7710000277,0.6750000119,0.80400002,0.8389999866
cifar_resnet14_groupnorm_torch,event,event_t025_q0025,4100,94100,dev-r1800,175258,1800,5,0.05,1.300224843,0.9563658875,1.003421146,0.6434,0.6434000134,0.4469999969,1.673323779,1056138104,1057290104,1062898424,10629560240,2120188528,11686850344,18000,55586216,3088.123111,0.2822404198,1800,0,0.999,0.025,0.0025,0.3,0.01,0.01,1,1,1019.380839,0.5663226881,0.6719999909,0.8420000076,0.4650000036,0.4469999969,0.4790000021,0.5419999957,0.7749999762,0.7070000172,0.7570000291,0.7480000257
