round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,3.063541041613335,2.63909482421875,2.6242663513183593,0.0951,0.09510000050067902,0.0,2191140,7799460,77994920,0,10,1,0,0,10,2191140,0.6934067606925964,15203,0.5943473000006634,ef_k025,ef_topk,5000,95000,heldout-r1800
15,2.664230124091098,2.2406546264648437,2.243423455810547,0.1825,0.18250000476837158,0.0,32867100,38475420,384759000,0,150,15,0,0,10,2191140,0.11946171522140503,29689,7.557208499994886,ef_k025,ef_topk,5000,95000,heldout-r1800
30,2.5351785856858737,2.112404736328125,2.1097958251953126,0.2453,0.24530000984668732,0.04100000113248825,65734200,71342520,713434800,0,300,30,0,0,10,2191140,0.14040586352348328,30393,14.998745599994436,ef_k025,ef_topk,5000,95000,heldout-r1800
45,2.4479890054572313,2.026200927734375,2.0181357177734376,0.2641,0.26410001516342163,0.0020000000949949026,98601300,104209620,1042110600,0,450,45,0,0,10,2191140,0.1502740979194641,33236,22.465201799997885,ef_k025,ef_topk,5000,95000,heldout-r1800
60,2.3835042675696925,1.9627862426757812,1.9610892028808593,0.2947,0.2946999967098236,0.0020000000949949026,131468400,137076720,1370786400,0,600,60,0,0,10,2191140,0.15570369362831116,33588,29.92754579999746,ef_k025,ef_topk,5000,95000,heldout-r1800
75,2.341875378061095,1.9222412353515625,1.9210850952148437,0.3141,0.3140999972820282,0.0820000022649765,164335500,169943820,1699462200,0,750,75,0,0,10,2191140,0.16175441443920135,34496,37.373536899998726,ef_k025,ef_topk,5000,95000,heldout-r1800
90,2.308045308162352,1.88954716796875,1.8893065673828124,0.3194,0.31940001249313354,0.05999999865889549,197202600,202810920,2028138000,0,900,90,0,0,10,2191140,0.16639699041843414,34708,44.82318139999552,ef_k025,ef_topk,5000,95000,heldout-r1800
105,2.2830437771716037,1.8657693115234375,1.8653303100585938,0.3241,0.32409998774528503,0.03799999877810478,230069700,235678020,2356813800,0,1050,105,0,0,10,2191140,0.1719101518392563,35116,52.2859638000009,ef_k025,ef_topk,5000,95000,heldout-r1800
120,2.2459173681755638,1.8297918090820313,1.8336529541015625,0.3422,0.34220001101493835,0.050999999046325684,262936800,268545120,2685489600,0,1200,120,0,0,10,2191140,0.17550711333751678,34868,59.74971340000047,ef_k025,ef_topk,5000,95000,heldout-r1800
135,2.2293030624237726,1.81441650390625,1.816457147216797,0.3521,0.3520999848842621,0.17800000309944153,295803900,301412220,3014165400,0,1350,135,0,0,10,2191140,0.1798652559518814,35360,67.1951848999961,ef_k025,ef_topk,5000,95000,heldout-r1800
150,2.192921377155115,1.7792034301757813,1.7811861480712892,0.3574,0.3574000298976898,0.09300000220537186,328671000,334279320,3342841200,0,1500,150,0,0,10,2191140,0.18145057559013367,35389,74.64873709999665,ef_k025,ef_topk,5000,95000,heldout-r1800
165,2.1645638147670603,1.7520493530273438,1.757638949584961,0.3705,0.37050002813339233,0.11800000071525574,361538100,367146420,3671517000,0,1650,165,0,0,10,2191140,0.18245847523212433,35826,82.1136864,ef_k025,ef_topk,5000,95000,heldout-r1800
180,2.1444553294004525,1.7330890747070313,1.73702841796875,0.3871,0.3870999813079834,0.14000000059604645,394405200,400013520,4000192800,0,1800,180,0,0,10,2191140,0.18417119979858398,34800,89.58032029999595,ef_k025,ef_topk,5000,95000,heldout-r1800
195,2.1198229503994344,1.7096662109375,1.7150547424316407,0.3948,0.39480000734329224,0.15299999713897705,427272300,432880620,4328868600,0,1950,195,0,0,10,2191140,0.18682630360126495,35823,97.04679829999804,ef_k025,ef_topk,5000,95000,heldout-r1800
