round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,3.0595429085939383,2.6324602783203126,2.63572978515625,0.1005,0.10050000250339508,0.0,1764258,7372578,73726100,92822,10,1,0,92822,10,1764258,3.5347959995269775,25880,1.3914866000413895,event_t0125_q005,event,4500,94500,heldout-r3000
15,2.8927557322952664,2.4657446166992187,2.4720474975585938,0.1,0.10000000149011612,0.0,7248695,12857015,128574950,381005,150,15,0,27168,10,516832,0.8957479000091553,15561,13.790836100000888,event_t0125_q005,event,4500,94500,heldout-r3000
30,2.8780227904961446,2.4505483032226563,2.449687744140625,0.1391,0.13910000026226044,0.0,14615988,20224308,202252680,768252,300,30,0,25751,10,489909,0.8816978335380554,16348,27.071590300067328,event_t0125_q005,event,4500,94500,heldout-r3000
45,2.6024633892277955,2.1748533813476563,2.164835772705078,0.2052,0.20520000159740448,0.0,21700295,27308615,273100550,1140605,450,45,0,24116,10,458844,0.7415071725845337,16577,40.30214040004648,event_t0125_q005,event,4500,94500,heldout-r3000
60,2.5397019915208685,2.112625354003906,2.106431561279297,0.225,0.22500000894069672,0.0,29184229,34792549,347944690,1533991,600,60,0,26445,10,503095,0.7935982942581177,18902,53.61478310008533,event_t0125_q005,event,4500,94500,heldout-r3000
75,2.44622386111829,2.0175921997070314,2.0053691284179687,0.2436,0.243599995970726,0.0,37562569,43170889,431732890,1974451,750,75,0,29744,10,565776,0.7950389385223389,21125,66.88675479998346,event_t0125_q005,event,4500,94500,heldout-r3000
90,2.4413346330028958,2.0110236450195313,2.0059847106933595,0.2484,0.2484000027179718,0.01899999938905239,46800355,52408675,524115550,2460145,900,90,0,36648,10,696952,0.8221007585525513,25002,80.28505539998878,event_t0125_q005,event,4500,94500,heldout-r3000
105,2.323008477872098,1.88941123046875,1.8895678100585938,0.2906,0.2906000316143036,0.0,56901292,62509612,625129720,2991268,1050,105,0,30628,10,582572,0.7217919826507568,22044,93.61972199997399,event_t0125_q005,event,4500,94500,heldout-r3000
120,2.4239235331929754,1.9870666748046875,1.979695098876953,0.2909,0.29089999198913574,0.0,67415897,73024217,730280570,3544163,1200,120,0,36719,10,698301,0.810398519039154,26551,106.8855690000346,event_t0125_q005,event,4500,94500,heldout-r3000
135,2.299115127691254,1.8574282958984376,1.8507709533691405,0.318,0.31800001859664917,0.003000000026077032,78177958,83786278,837905980,4110082,1350,135,0,35191,10,669269,0.7601975202560425,26197,120.21156650001649,event_t0125_q005,event,4500,94500,heldout-r3000
150,2.57545970504107,2.12866484375,2.1065432250976563,0.23,0.23000000417232513,0.0,90204849,95813169,958179690,4742571,1500,150,0,45048,10,856552,0.8972005248069763,32483,133.51109170005657,event_t0125_q005,event,4500,94500,heldout-r3000
165,2.256206058616191,1.80435927734375,1.7974084869384765,0.3375,0.3375000059604645,0.09000000357627869,102619112,108227432,1082327120,5395448,1650,165,0,39914,10,759006,0.7699025869369507,29506,146.82600780006032,event_t0125_q005,event,4500,94500,heldout-r3000
180,2.253094644371979,1.7965188354492188,1.7833193969726562,0.3584,0.35840001702308655,0.010999999940395355,115712720,121321040,1213268000,6084080,1800,180,0,49165,10,934775,0.8221878409385681,34295,160.1060827000765,event_t0125_q005,event,4500,94500,heldout-r3000
195,2.3520546196946874,1.8911615356445313,1.8666267944335937,0.3022,0.3022000193595886,0.009999999776482582,128972958,134581278,1345875180,6781482,1950,195,0,47603,10,905097,0.8414630889892578,34826,173.37219160003588,event_t0125_q005,event,4500,94500,heldout-r3000
210,2.2309767834849654,1.7657772094726563,1.7607452453613281,0.3519,0.35190001130104065,0.10100000351667404,142166848,147775168,1477818880,7475392,2100,210,0,46365,10,881575,0.8059238791465759,34145,186.68519650003873,event_t0125_q005,event,4500,94500,heldout-r3000
225,2.1336564884688705,1.66373681640625,1.659447720336914,0.3869,0.38690000772476196,0.06599999964237213,156327116,161935436,1619426360,8220164,2250,225,0,45673,10,868427,0.7708805203437805,33674,199.95567960001063,event_t0125_q005,event,4500,94500,heldout-r3000
240,2.142315113730729,1.66825,1.6546200775146485,0.3896,0.38960000872612,0.05700000002980232,170366544,175974864,1759825440,8958576,2400,240,0,44889,10,853531,0.7620131969451904,33186,213.2139919999754,event_t0125_q005,event,4500,94500,heldout-r3000
255,2.195137418312393,1.71736611328125,1.6984412475585937,0.3735,0.37349995970726013,0.006000000052154064,184722113,190330433,1903385930,9713627,2550,255,0,50756,10,965004,0.8337780237197876,37276,226.5052730999887,event_t0125_q005,event,4500,94500,heldout-r3000
270,2.077563707295619,1.59588701171875,1.5833304809570312,0.4191,0.4191000163555145,0.06300000101327896,199006793,204615113,2046237530,10464947,2700,270,0,48516,10,922444,0.7473716139793396,35008,239.79348480002955,event_t0125_q005,event,4500,94500,heldout-r3000
285,2.261144055867754,1.7750313232421875,1.7745789520263673,0.3842,0.38420000672340393,0.0,213787145,219395465,2194045850,11242355,2850,285,0,56840,10,1080600,0.824199378490448,40166,250.6851513000438,event_t0125_q005,event,4500,94500,heldout-r3000
300,2.0220536974653602,1.5315782104492188,1.5283043151855469,0.4412,0.44119998812675476,0.052000001072883606,228267962,233876282,2338858820,12003998,3000,300,0,48929,10,930291,0.7339521646499634,35874,263.85152490006294,event_t0125_q005,event,4500,94500,heldout-r3000
315,2.04563924878519,1.55178037109375,1.5486874267578126,0.4455,0.445499986410141,0.020999999716877937,242966405,248574725,2485848050,12777095,3150,315,0,44742,10,850738,0.6893766522407532,33968,277.15276409999933,event_t0125_q005,event,4500,94500,heldout-r3000
330,2.1193930985607206,1.6216908325195312,1.611842938232422,0.4346,0.43459996581077576,0.16200000047683716,258452398,264060718,2640712780,13591642,3300,330,0,52757,10,1003023,0.7616846561431885,38870,290.45981560007203,event_t0125_q005,event,4500,94500,heldout-r3000
345,2.009726057399809,1.5081014892578124,1.5036863800048827,0.4557,0.45569998025894165,0.210999995470047,273434720,279043040,2790540800,14379680,3450,345,0,49452,10,940228,0.7199883460998535,37033,303.7596782000037,event_t0125_q005,event,4500,94500,heldout-r3000
