round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,2.8413231454942824,2.4173373657226565,2.4188131652832032,0.0938,0.09380000084638596,0.0,1753540,7361860,73618920,0,10,1,0,0,10,1753540,0.4824543595314026,175258,1.3353283999022096,sign_ef,sign_ef,4800,94800,heldout-r3000
15,2.6591620339557354,2.236139001464844,2.23745146484375,0.1908,0.1907999962568283,0.0,26303100,31911420,319119000,0,150,15,0,0,10,1753540,0.22552619874477386,175258,13.132546499953605,sign_ef,sign_ef,4800,94800,heldout-r3000
30,2.541209641689532,2.1190955078125,2.1169427795410156,0.2477,0.24770000576972961,0.03099999949336052,52606200,58214520,582154800,0,300,30,0,0,10,1753540,0.2756822407245636,175258,25.767732199979946,sign_ef,sign_ef,4800,94800,heldout-r3000
45,2.45690647537146,2.0362324340820313,2.032703839111328,0.2725,0.27250000834465027,0.017999999225139618,78909300,84517620,845190600,0,450,45,0,0,10,1753540,0.2955458462238312,175258,38.370177099946886,sign_ef,sign_ef,4800,94800,heldout-r3000
60,2.3943730461705535,1.974630078125,1.9712841369628906,0.2843,0.2842999994754791,0.01899999938905239,105212400,110820720,1108226400,0,600,60,0,0,10,1753540,0.29883256554603577,175258,50.986559099983424,sign_ef,sign_ef,4800,94800,heldout-r3000
75,2.3474817388334603,1.9289873168945313,1.9259845397949218,0.301,0.3009999990463257,0.02800000086426735,131515500,137123820,1371262200,0,750,75,0,0,10,1753540,0.3006505072116852,175258,63.6029528999934,sign_ef,sign_ef,4800,94800,heldout-r3000
90,2.319526432079525,1.9019132080078125,1.8981722534179688,0.3082,0.30820003151893616,0.06300000101327896,157818600,163426920,1634298000,0,900,90,0,0,10,1753540,0.30838268995285034,175258,76.2178415999515,sign_ef,sign_ef,4800,94800,heldout-r3000
105,2.2853475949116167,1.8687400268554688,1.8641810791015625,0.325,0.32500001788139343,0.07000000029802322,184121700,189730020,1897333800,0,1050,105,0,0,10,1753540,0.3198627233505249,175258,88.84622889989987,sign_ef,sign_ef,4800,94800,heldout-r3000
120,2.252236739568913,1.8364567626953126,1.8327868408203125,0.3412,0.34119999408721924,0.05000000074505806,210424800,216033120,2160369600,0,1200,120,0,0,10,1753540,0.33108916878700256,175258,101.47650189988781,sign_ef,sign_ef,4800,94800,heldout-r3000
135,2.216818469939206,1.8018557495117187,1.8013180053710938,0.3536,0.35359999537467957,0.07999999821186066,236727900,242336220,2423405400,0,1350,135,0,0,10,1753540,0.3396294116973877,175258,114.09982819994912,sign_ef,sign_ef,4800,94800,heldout-r3000
150,2.1840534204088615,1.7698217163085936,1.7701610076904297,0.3714,0.37140002846717834,0.1420000046491623,263031000,268639320,2686441200,0,1500,150,0,0,10,1753540,0.34975185990333557,175258,126.72080689994618,sign_ef,sign_ef,4800,94800,heldout-r3000
