round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,3.8517925116918805,3.4100492431640625,3.4295596252441407,0.1,0.10000000149011612,0.0,2587357,8195677,81957090,136143,10,1,0,136143,10,2587357,8.656309127807617,34481,1.409405400045216,strom_t01,strom,4600,94600,heldout-r3000
15,2.805255461555347,2.294235009765625,2.2940638916015623,0.1512,0.15119999647140503,0.0,6838181,12446501,124469810,359399,150,15,0,9769,10,186251,1.2457526922225952,4983,13.480300500057638,strom_t01,strom,4600,94600,heldout-r3000
30,2.874001660654461,2.259801904296875,2.2577620056152345,0.1557,0.15570001304149628,0.0,9320479,14928799,149297590,489541,300,30,0,8543,10,162957,1.2604364156723022,5179,26.369265099987388,strom_t01,strom,4600,94600,heldout-r3000
45,2.8355768963810055,2.078846520996094,2.06923935546875,0.2339,0.2339000254869461,0.0,11954815,17563135,175645750,627685,450,45,0,8832,10,168448,1.1614645719528198,5329,39.2518159999745,strom_t01,strom,4600,94600,heldout-r3000
60,3.023901377673075,2.084944140625,2.084635656738281,0.2104,0.21040001511573792,0.0,14654682,20263002,202649220,769278,600,60,0,10132,10,193148,1.1737971305847168,6075,52.13491430005524,strom_t01,strom,4600,94600,heldout-r3000
75,3.163827130121458,2.0166635009765623,2.010494488525391,0.2518,0.2518000304698944,0.0,17581466,23189786,231921860,922814,750,75,0,9814,10,187106,1.1476932764053345,6169,65.37016709998716,strom_t01,strom,4600,94600,heldout-r3000
90,3.3755466717229226,2.0127239013671874,2.0041716247558594,0.2644,0.26440000534057617,0.0,20682271,26290591,262934710,1085509,900,90,0,10765,10,205175,1.1765626668930054,6754,78.70553210005164,strom_t01,strom,4600,94600,heldout-r3000
105,3.6174027050039737,2.0317796020507815,2.0221627380371094,0.2549,0.2549000084400177,0.017000000923871994,24038208,29646528,296498880,1261632,1050,105,0,11185,10,213155,1.1878972053527832,7379,91.73698150005657,strom_t01,strom,4600,94600,heldout-r3000
120,3.9579494978766885,2.1450277099609374,2.122461193847656,0.2195,0.21950002014636993,0.0,27500013,33108333,331121730,1443327,1200,120,0,14375,10,273765,1.370072841644287,9155,104.70921400003135,strom_t01,strom,4600,94600,heldout-r3000
135,4.183062497250736,2.1256756591796875,2.101547186279297,0.2095,0.2094999998807907,0.0,31339500,36947820,369521400,1644900,1350,135,0,16844,10,320676,1.5357083082199097,10883,117.64966500003356,strom_t01,strom,4600,94600,heldout-r3000
150,4.2317715382785535,1.9066214599609375,1.8962048767089843,0.2878,0.28780001401901245,0.0010000000474974513,35113912,40722232,407270320,1843048,1500,150,0,12249,10,233371,1.2012077569961548,8210,130.58775669999886,strom_t01,strom,4600,94600,heldout-r3000
165,4.536317663591355,1.9086898193359374,1.8899473327636718,0.2976,0.29760000109672546,0.0,39263346,44871666,448769460,2060934,1650,165,0,14168,10,269832,1.2729493379592896,9530,143.54518470005132,strom_t01,strom,4600,94600,heldout-r3000
180,4.924810166223347,1.9622200561523437,1.92992724609375,0.282,0.28200003504753113,0.0,43437556,49045876,490516360,2280124,1800,180,0,15471,10,294589,1.3563553094863892,10251,156.4431739000138,strom_t01,strom,4600,94600,heldout-r3000
195,5.198839170420543,1.8609998168945312,1.839526708984375,0.3489,0.3489000201225281,0.004999999888241291,48029462,53637782,536440220,2521298,1950,195,0,14612,10,278268,1.4053468704223633,10002,169.3335686000064,strom_t01,strom,4600,94600,heldout-r3000
210,5.728840399578586,1.9741822143554688,1.9640399597167968,0.2974,0.29739999771118164,0.0,52685398,58293718,583004380,2765842,2100,210,0,17802,10,338878,1.598249077796936,11964,182.46954770002048,strom_t01,strom,4600,94600,heldout-r3000
225,6.093097261713445,1.8857902587890625,1.869577459716797,0.3095,0.3095000088214874,0.007000000216066837,57899269,63507589,635147890,3039751,2250,225,0,16782,10,319498,1.4481712579727173,11295,195.45774620003067,strom_t01,strom,4600,94600,heldout-r3000
240,6.450903329337389,1.768225732421875,1.7417771026611328,0.3806,0.3806000351905823,0.11800000071525574,62855424,68463744,684714240,3300096,2400,240,0,17906,10,340854,1.370328426361084,12062,208.48635999998078,strom_t01,strom,4600,94600,heldout-r3000
255,7.567917568838597,2.39237294921875,2.328228973388672,0.2295,0.22950001060962677,0.0,68383403,73991723,739998830,3590537,2550,255,0,24856,10,472904,2.109691858291626,16078,221.4960515999701,strom_t01,strom,4600,94600,heldout-r3000
270,7.465926379037649,1.8181911987304689,1.7881299560546875,0.3468,0.3467999994754791,0.07199999690055847,73049789,78658109,786667490,3835631,2700,270,0,17274,10,328846,1.370255470275879,12055,234.443373600021,strom_t01,strom,4600,94600,heldout-r3000
285,8.009828169002384,1.9051515014648437,1.899680908203125,0.3244,0.3243999779224396,0.010999999940395355,78216920,83825240,838343600,4107080,2850,285,0,16506,10,314254,1.3777517080307007,11721,247.38886349997483,strom_t01,strom,4600,94600,heldout-r3000
300,8.428725228504836,1.8457846435546874,1.8346768249511718,0.3577,0.357699990272522,0.020999999716877937,83205337,88813657,888232570,4369123,3000,300,0,14907,10,283873,1.2981139421463013,10338,260.360289299977,strom_t01,strom,4600,94600,heldout-r3000
315,8.802087620678545,1.752766064453125,1.731448895263672,0.3772,0.3771999776363373,0.004999999888241291,88545482,94153802,941638820,4649678,3150,315,0,20509,10,390311,1.4284605979919434,14217,273.2923700000392,strom_t01,strom,4600,94600,heldout-r3000
330,9.962685244286806,2.4503052001953125,2.4080373474121095,0.205,0.20499999821186066,0.0,94654918,100263238,1002737980,4970722,3300,330,0,25997,10,494583,1.8078439235687256,17688,286.25060759996995,strom_t01,strom,4600,94600,heldout-r3000
345,9.899258442519606,1.9074909912109375,1.8978561645507812,0.3282,0.32820001244544983,0.00800000037997961,99491886,105100206,1051112460,5224794,3450,345,0,16997,10,323583,1.4596917629241943,11712,299.2445013000397,strom_t01,strom,4600,94600,heldout-r3000
360,10.241956720143556,1.7994653930664062,1.786253289794922,0.3385,0.3384999930858612,0.052000001072883606,104506162,110114482,1101260020,5488198,3600,360,0,17715,10,337225,1.3843047618865967,12240,312.15194440004416,strom_t01,strom,4600,94600,heldout-r3000
375,11.173865616440773,2.3050050048828123,2.3284816345214843,0.2555,0.25550001859664917,0.0,110322295,115930615,1159426150,5793805,3750,375,0,19990,10,380450,1.635359287261963,14021,325.1403425000608,strom_t01,strom,4600,94600,heldout-r3000
390,11.130764141003787,1.8410258911132813,1.819951611328125,0.3461,0.34610000252723694,0.009999999776482582,115586763,121195083,1212075630,6070377,3900,390,0,18121,10,344939,1.45268714427948,12761,338.083071900066,strom_t01,strom,4600,94600,heldout-r3000
405,12.060537616686524,2.370277197265625,2.374825323486328,0.2618,0.26180002093315125,0.014999999664723873,121054170,126662490,1266754500,6357630,4050,405,0,19589,10,372831,1.5229904651641846,13678,351.0496623000363,strom_t01,strom,4600,94600,heldout-r3000
420,12.034450651632248,1.96987412109375,1.9813381530761718,0.3258,0.3258000314235687,0.0,126751686,132360006,1323734460,6656994,4200,420,0,24200,10,460440,1.6641513109207153,16651,363.9890066999942,strom_t01,strom,4600,94600,heldout-r3000
435,12.284972577568888,1.8973201782226563,1.8685581909179687,0.292,0.29200002551078796,0.04100000113248825,132551935,138160255,1381741750,6961765,4350,435,0,20260,10,385580,1.5247950553894043,14241,376.9538558999775,strom_t01,strom,4600,94600,heldout-r3000
450,13.120430378298462,2.4594114501953124,2.4772865478515627,0.2169,0.21689999103546143,0.0,138329289,143937609,1439520090,7265331,4500,450,0,22715,10,432225,1.807677984237671,15577,389.9331716999877,strom_t01,strom,4600,94600,heldout-r3000
465,14.166909063388408,3.285800830078125,3.2466037536621095,0.1332,0.133200004696846,0.0,143866160,149474480,1494893600,7556240,4650,465,0,27910,10,530930,2.2849068641662598,18319,402.93690139998216,strom_t01,strom,4600,94600,heldout-r3000
480,12.774644722285867,1.6937146118164061,1.6909468017578124,0.3994,0.399399995803833,0.1679999977350235,148691956,154300276,1543156360,7809724,4800,480,0,17957,10,341823,1.4810469150543213,13219,415.9479255999904,strom_t01,strom,4600,94600,heldout-r3000
495,13.086940753109753,1.8161005859375,1.7970750274658203,0.3247,0.3246999680995941,0.029999999329447746,154388427,159996747,1600125870,8109033,4950,495,0,19280,10,366960,1.4620532989501953,13818,428.9287386999931,strom_t01,strom,4600,94600,heldout-r3000
510,13.183836215424538,1.733886669921875,1.7116600280761718,0.3806,0.3806000351905823,0.12600000202655792,160120124,165728444,1657447640,8410196,5100,510,0,18414,10,350506,1.4555411338806152,12901,441.99644760007504,strom_t01,strom,4600,94600,heldout-r3000
525,13.634010890957713,2.026221057128906,2.0178559631347657,0.2898,0.2898000180721283,0.0,165868788,171477108,1714939080,8712252,5250,525,0,23466,10,446494,1.9895224571228027,16126,454.97444000001997,strom_t01,strom,4600,94600,heldout-r3000
540,14.061365216577054,2.323994665527344,2.2865154907226564,0.2119,0.211899995803833,0.010999999940395355,171422797,177031117,1770483970,9004063,5400,540,0,26685,10,507655,2.0621590614318848,18328,467.9396133000264,strom_t01,strom,4600,94600,heldout-r3000
555,13.595582296684384,1.7022542724609375,1.69583837890625,0.3834,0.38339999318122864,0.07199999690055847,177678533,183286853,1833046130,9332807,5550,555,0,21956,10,417804,1.5526106357574463,15196,480.95706789998803,strom_t01,strom,4600,94600,heldout-r3000
570,14.147288576963545,2.080509228515625,2.0449422973632814,0.2947,0.2946999967098236,0.04399999976158142,184086915,189695235,1897134750,9669585,5700,570,0,27451,10,522209,1.8893120288848877,19314,493.9977648999775,strom_t01,strom,4600,94600,heldout-r3000
585,14.78553193539381,2.5207734375,2.4824402587890626,0.2432,0.24319998919963837,0.0,191666571,197274891,1972936110,10068009,5850,585,0,41871,10,796189,2.7368412017822266,26872,506.97909739997704,strom_t01,strom,4600,94600,heldout-r3000
600,14.13585359044373,1.6447569580078125,1.634303466796875,0.4132,0.4131999909877777,0.0,198138641,203746961,2037661610,10408139,6000,600,0,22416,10,426544,1.6858232021331787,15541,519.9680237000575,strom_t01,strom,4600,94600,heldout-r3000
615,14.352710001339018,1.6301098510742187,1.6369633361816407,0.4013,0.40130001306533813,0.16599999368190765,204869301,210477621,2104973010,10761879,6150,615,0,24546,10,467014,1.6213573217391968,16924,532.9183784000343,strom_t01,strom,4600,94600,heldout-r3000
630,14.53485696066022,1.556630517578125,1.5573112030029297,0.4363,0.43630000948905945,0.24400000274181366,212207733,217816053,2178362130,11147607,6300,630,0,23321,10,443739,1.5885528326034546,16411,546.0243305000477,strom_t01,strom,4600,94600,heldout-r3000
645,15.031744661566615,1.794500048828125,1.7939926452636719,0.3789,0.37890002131462097,0.0,220114493,225722813,2257434530,11563247,6450,645,0,30401,10,578259,1.9071706533432007,20363,559.0792565000011,strom_t01,strom,4600,94600,heldout-r3000
660,15.358231898102165,1.8755234497070312,1.8943009338378907,0.3394,0.3394000232219696,0.0010000000474974513,227953879,233562199,2335833190,11975341,6600,660,0,24746,10,470814,1.793320894241333,16645,572.1048980000196,strom_t01,strom,4600,94600,heldout-r3000
675,15.394522994498908,1.6482598999023437,1.637147280883789,0.4058,0.4058000147342682,0.18000000715255737,235514744,241123064,2411446640,12372776,6750,675,0,21171,10,402889,1.468434453010559,14629,585.1343894000165,strom_t01,strom,4600,94600,heldout-r3000
690,15.830108978641034,1.8201810180664062,1.80314462890625,0.3476,0.3476000428199768,0.003000000026077032,243222004,248830324,2488524040,12777916,6900,690,0,26824,10,510296,1.8135048151016235,18325,598.1517805999611,strom_t01,strom,4600,94600,heldout-r3000
705,16.049953422272207,1.7642212890625,1.7597766876220704,0.3754,0.37540000677108765,0.004999999888241291,250981780,256590100,2566126600,13185820,7050,705,0,27771,10,528289,1.8247464895248413,19094,611.1455258000642,strom_t01,strom,4600,94600,heldout-r3000
720,16.179516237285736,1.6470855590820312,1.644083627319336,0.399,0.39900001883506775,0.004000000189989805,259430458,265038778,2650618180,13629982,7200,720,0,25649,10,487971,1.6006561517715454,17488,624.1809979999671,strom_t01,strom,4600,94600,heldout-r3000
735,16.653078959035874,1.8941862915039063,1.88428515625,0.3544,0.35440000891685486,0.0,267965529,273573849,2735973690,14078691,7350,735,0,33538,10,637862,2.0535335540771484,21990,637.2317984000547,strom_t01,strom,4600,94600,heldout-r3000
750,17.06743867611885,2.0327296142578124,2.0380596740722656,0.268,0.2680000066757202,0.00800000037997961,276778779,282387099,2824110990,14542041,7500,750,0,34054,10,647666,1.9496666193008423,22177,650.2605715000536,strom_t01,strom,4600,94600,heldout-r3000
765,17.46821434253752,2.1812617309570315,2.1895977783203127,0.2805,0.28050002455711365,0.0,286101476,291709796,2917342760,15032204,7650,765,0,33298,10,633302,2.267421245574951,20578,663.2664940999821,strom_t01,strom,4600,94600,heldout-r3000
780,17.793371869960428,2.2994213623046873,2.3219663269042967,0.3178,0.31780001521110535,0.0,294741199,300349519,3003744790,15486421,7800,780,0,33720,10,641320,2.2437021732330322,20224,676.3542680999963,strom_t01,strom,4600,94600,heldout-r3000
795,17.303008013674617,1.6250755981445313,1.6139400115966798,0.417,0.41700002551078796,0.05400000140070915,303340357,308948677,3089741170,15938503,7950,795,0,27021,10,514039,1.6744849681854248,16764,689.4038643999957,strom_t01,strom,4600,94600,heldout-r3000
810,18.185758331504466,2.3182521850585935,2.3111210693359374,0.2574,0.2574000060558319,0.0,312256017,317864337,3178902570,16407243,8100,810,0,32726,10,622434,2.35312557220459,18887,702.4634964000434,strom_t01,strom,4600,94600,heldout-r3000
825,18.141196218186618,2.116807531738281,2.117368194580078,0.3069,0.3069000244140625,0.0,319331299,324939619,3249660190,16779121,8250,825,0,30381,10,577879,2.080744981765747,18635,715.5005509000039,strom_t01,strom,4600,94600,heldout-r3000
840,18.04695498431027,1.964183056640625,1.9629936950683593,0.2998,0.29980000853538513,0.0,326302309,331910629,3319375090,17145511,8400,840,0,17874,10,340246,1.582339882850647,10777,728.5187415999826,strom_t01,strom,4600,94600,heldout-r3000
855,17.70521285763979,1.6485383544921874,1.6445537231445313,0.4034,0.4034000039100647,0.10899999737739563,331830060,337438380,3374657400,17435940,8550,855,0,19812,10,377068,1.5005998611450195,13106,741.4588765000226,strom_t01,strom,4600,94600,heldout-r3000
870,17.635014818927644,1.66038173828125,1.6417410522460938,0.4055,0.40550002455711365,0.026000000536441803,338202760,343811080,3438389200,17770840,8700,870,0,22894,10,435626,1.6375590562820435,15544,754.5569159999723,strom_t01,strom,4600,94600,heldout-r3000
885,17.597487365406753,1.7327008544921876,1.7255098876953125,0.3684,0.3684000074863434,0.003000000026077032,344605917,350214237,3502425570,18107343,8850,885,0,24028,10,457172,1.7983324527740479,15897,767.5849833000684,strom_t01,strom,4600,94600,heldout-r3000
900,17.47556139564812,1.7243626220703125,1.7266707000732422,0.3785,0.37849998474121094,0.10499999672174454,351192101,356800421,3568292210,18453479,9000,900,0,23312,10,443568,1.624807596206665,15923,780.6033537000185,strom_t01,strom,4600,94600,heldout-r3000
915,17.637735887548327,2.0042504516601563,1.982313427734375,0.2642,0.26420000195503235,0.0430000014603138,357974156,363582476,3636117560,18809924,9150,915,0,26263,10,499637,2.0223500728607178,17714,793.6262722000247,strom_t01,strom,4600,94600,heldout-r3000
930,17.045763580927254,1.5175070556640624,1.5082228302001952,0.4521,0.4521000385284424,0.03999999910593033,364740574,370348894,3703786540,19165546,9300,930,0,21690,10,412750,1.551644206047058,15206,806.583434500033,strom_t01,strom,4600,94600,heldout-r3000
945,17.52728450509757,2.084927697753906,2.0849642150878904,0.3022,0.3022000193595886,0.012000000104308128,371471101,377079421,3771096610,19519279,9450,945,0,25760,10,490080,1.8959956169128418,17650,819.6097354000667,strom_t01,strom,4600,94600,heldout-r3000
960,17.018054149496557,1.6416513793945313,1.6214567260742188,0.4163,0.4163000285625458,0.0,378360639,383968959,3839996790,19881381,9600,960,0,22986,10,437374,1.6771403551101685,15718,832.639475199976,strom_t01,strom,4600,94600,heldout-r3000
975,16.772780528470875,1.4197083740234375,1.4164480499267578,0.4845,0.4845000207424164,0.11100000143051147,385095707,390704027,3907352270,20235353,9750,975,0,20172,10,383908,1.4558159112930298,13824,845.6513634000439,strom_t01,strom,4600,94600,heldout-r3000
990,17.129792727446556,1.7649693237304687,1.7583291442871094,0.3596,0.3595999777317047,0.032999999821186066,391870979,397479299,3975109790,20591441,9900,990,0,20177,10,384003,1.5984054803848267,13121,858.6439561999869,strom_t01,strom,4600,94600,heldout-r3000
1005,16.961327337303757,1.5726655639648437,1.5709924682617187,0.4467,0.44669994711875916,0.0,397991777,403600097,4036322570,20913083,10050,1005,0,20663,10,393237,1.6670632362365723,13994,871.617587100016,strom_t01,strom,4600,94600,heldout-r3000
