architecture,method,dimension,rounds,local_steps,local_lr,final_train_objective,final_train_ce,final_test_ce,final_test_accuracy,final_macro_accuracy,final_worst_class_accuracy,whole_train_objective,uplink_payload_bits,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,broadcast_total_bits,unicast_hybrid_total_bits,messages,coordinate_events,events_per_message,mean_delta_norm,replay_rounds,checkpoint_rounds,rho,threshold,jump0,jump_exponent,topk_fraction,strom_threshold,init_scale,server_gain,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,point_id,benchmark,role,configuration,seed_index,seed_subset,partition_seed,train_seed,config_name,family,tag,event_memory,event_reset
cifar_cnn,event,20570,120,5,0.05,1.449801548,1.410356445,1.442953143,0.4766,0.4766,0.29,1.741153602,18077248,18154048,18812352,188161920,36966400,206315968,1200,1129828,941.5233333,0.3370621839,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.499,0.638,0.29,0.322,0.408,0.359,0.628,0.594,0.588,0.44,cifar_event,cifar_cnn,event,event_t025_q005,0,original,3500,83500,frozen_full_persistent,frozen,heldout,,
cifar_cnn,event,20570,120,5,0.05,1.451585772,1.411196631,1.414184583,0.4932,0.4932,0.25,1.754817235,17325136,17401936,18060240,180640800,35462176,198042736,1200,1082821,902.3508333,0.3336931922,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.594,0.565,0.25,0.419,0.466,0.435,0.553,0.561,0.473,0.616,cifar_event,cifar_cnn,event,event_t025_q005,1,original,3600,83600,frozen_full_persistent,frozen,heldout,,
cifar_cnn,event,20570,120,5,0.05,1.486688589,1.447021448,1.466136044,0.4719,0.4719,0.199,1.780826307,17510592,17587392,18245696,182495360,35833088,200082752,1200,1094412,912.01,0.3373732362,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.573,0.472,0.199,0.222,0.442,0.578,0.561,0.564,0.499,0.609,cifar_event,cifar_cnn,event,event_t025_q005,2,original,3700,83700,frozen_full_persistent,frozen,heldout,,
cifar_cnn,event,20570,120,5,0.05,1.453434064,1.413331995,1.451882156,0.4738,0.4738,0.217,1.738124417,17846880,17923680,18581984,185858240,36505664,203781920,1200,1115430,929.525,0.3375728472,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.393,0.492,0.261,0.217,0.328,0.575,0.715,0.528,0.652,0.577,cifar_event,cifar_cnn,event,event_t025_q005,3,extension,3800,83800,frozen_full_persistent,frozen,heldout,,
cifar_cnn,event,20570,120,5,0.05,1.427037609,1.387493286,1.427892368,0.4889,0.4889,0.321,1.739041285,18153536,18230336,18888640,188924800,37118976,207155136,1200,1134596,945.4966667,0.339435048,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.482,0.564,0.321,0.324,0.35,0.465,0.581,0.617,0.576,0.609,cifar_event,cifar_cnn,event,event_t025_q005,4,extension,3900,83900,frozen_full_persistent,frozen,heldout,,
cifar_cnn,event,20570,120,5,0.05,1.441158395,1.401542993,1.425102487,0.4872,0.4872,0.267,1.758821492,17218784,17295584,17953888,179577280,35249472,196872864,1200,1076174,896.8116667,0.3348604178,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.508,0.683,0.377,0.267,0.328,0.395,0.699,0.551,0.609,0.455,cifar_event,cifar_cnn,event,event_t025_q005,5,extension,4000,84000,frozen_full_persistent,frozen,heldout,,
cifar_cnn,event,20570,120,5,0.05,1.473264827,1.434177661,1.457991663,0.4714,0.4714,0.23,1.750084761,17126768,17203568,17861872,178657120,35065440,195860688,1200,1070423,892.0191667,0.3369133439,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.523,0.642,0.23,0.274,0.542,0.529,0.396,0.513,0.536,0.529,cifar_event,cifar_cnn,event,event_t025_q005,6,extension,4100,84100,frozen_full_persistent,frozen,heldout,,
cifar_cnn,event,20570,120,5,0.05,1.425712594,1.385553235,1.422943756,0.4934,0.4934,0.277,1.73585581,17394272,17471072,18129376,181332160,35600448,198803232,1200,1087142,905.9516667,0.336338363,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.465,0.644,0.345,0.277,0.323,0.563,0.641,0.564,0.619,0.493,cifar_event,cifar_cnn,event,event_t025_q005,7,extension,4200,84200,frozen_full_persistent,frozen,heldout,,
cifar_cnn,event,20570,120,5,0.05,1.47567623,1.435273474,1.459843787,0.4731,0.4731,0.244,1.757972233,17407584,17484384,18142688,181465280,35627072,198949664,1200,1087974,906.645,0.3365307338,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.423,0.605,0.278,0.599,0.244,0.364,0.559,0.53,0.598,0.531,cifar_event,cifar_cnn,event,event_t025_q005,8,extension,4300,84300,frozen_full_persistent,frozen,heldout,,
cifar_cnn,event,20570,120,5,0.05,1.431037817,1.392009363,1.436067773,0.4832,0.4832,0.308,1.741004778,17866144,17942944,18601248,186050880,36544192,203993824,1200,1116634,930.5283333,0.3382295294,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.612,0.641,0.308,0.309,0.339,0.428,0.646,0.5,0.537,0.512,cifar_event,cifar_cnn,event,event_t025_q005,9,extension,4400,84400,frozen_full_persistent,frozen,heldout,,
