architecture,method,dimension,rounds,local_steps,local_lr,final_train_objective,final_train_ce,final_test_ce,final_test_accuracy,final_macro_accuracy,final_worst_class_accuracy,whole_train_objective,uplink_payload_bits,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,broadcast_total_bits,unicast_hybrid_total_bits,messages,coordinate_events,events_per_message,mean_delta_norm,replay_rounds,checkpoint_rounds,rho,threshold,jump0,jump_exponent,topk_fraction,strom_threshold,init_scale,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,config_name,partition_seed,train_seed,tag
cifar_cnn,dense,20570,120,5,0.05,1.62276832,1.590121606,1.597396777,0.4244,0.4244,0.201,1.898044145,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3469725993,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,0.462,0.558,0.201,0.283,0.371,0.418,0.585,0.502,0.479,0.385,dense,3400,83400,dev
cifar_cnn,ef_topk,20570,120,5,0.05,1.62103461,1.58827312,1.591375146,0.4306,0.4306,0.214,1.912428445,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.343290638,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,0.479,0.575,0.214,0.26,0.357,0.424,0.576,0.516,0.475,0.43,ef_k05,3400,83400,dev
cifar_cnn,ef_topk,20570,120,5,0.05,1.632247694,1.599390649,1.603911621,0.427,0.427,0.218,1.932029386,28989600,29066400,29724704,297285440,58791104,326351840,1200,0,0,0.3424870813,120,0,0.999,0.025,0.005,0.2,0.025,0.01,1,0.481,0.581,0.218,0.265,0.353,0.408,0.574,0.505,0.455,0.43,ef_k025,3400,83400,dev
cifar_cnn,ef_topk,20570,120,5,0.05,1.670523115,1.63741781,1.638383371,0.4108,0.4108,0.235,1.976680359,11618400,11695200,12353504,123573440,24048704,135268640,1200,0,0,0.341696718,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.479,0.563,0.235,0.262,0.289,0.396,0.566,0.491,0.44,0.387,ef_k01,3400,83400,dev
cifar_cnn,ef_topk,20570,120,5,0.05,1.714401704,1.680965784,1.679006595,0.397,0.397,0.226,2.020321555,5809200,5886000,6544304,65481440,12430304,71367440,1200,0,0,0.3415354546,120,0,0.999,0.025,0.005,0.2,0.005,0.01,1,0.443,0.553,0.226,0.257,0.305,0.378,0.499,0.484,0.462,0.363,ef_k005,3400,83400,dev
cifar_cnn,event,20570,120,5,0.05,1.451568052,1.412095911,1.435438376,0.4852,0.4852,0.24,1.755114983,17680576,17757376,18415680,184195200,36173056,201952576,1200,1105036,920.8633333,0.3373060208,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.536,0.61,0.241,0.24,0.421,0.471,0.745,0.52,0.563,0.505,event_t025_q005,3400,83400,dev
cifar_cnn,event,20570,120,5,0.05,1.460564658,1.421767078,1.451416861,0.4824,0.4824,0.223,1.748152265,37663376,37740176,38398480,384023200,76138656,421763376,1200,2353961,1961.634167,0.3428574535,120,0,0.999,0.0125,0.0025,0.2,0.01,0.01,1,0.552,0.582,0.258,0.223,0.407,0.519,0.677,0.578,0.557,0.471,event_t0125_q0025,3400,83400,dev
cifar_cnn,event,20570,120,5,0.05,1.477606403,1.439065674,1.461085928,0.4703,0.4703,0.177,1.79679274,7944128,8020928,8679232,86830720,16700160,94851648,1200,496508,413.7566667,0.3344579827,120,0,0.999,0.05,0.01,0.2,0.01,0.01,1,0.516,0.564,0.177,0.309,0.412,0.448,0.726,0.541,0.582,0.428,event_t05_q01,3400,83400,dev
cifar_cnn,event,20570,120,5,0.05,1.555746896,1.522048291,1.534042542,0.4427,0.4427,0.194,1.856707409,19058336,19135136,19793440,197972800,38928576,217107936,1200,1191146,992.6216667,0.3402159881,120,0,0.999,0.025,0.0025,0.2,0.01,0.01,1,0.465,0.596,0.194,0.254,0.365,0.474,0.597,0.535,0.52,0.427,event_t025_q0025,3400,83400,dev
cifar_cnn,event,20570,120,5,0.05,1.557624274,1.524464575,1.537013336,0.4494,0.4494,0.207,1.906255788,8752576,8829376,9487680,94915200,18317056,103744576,1200,547036,455.8633333,0.3379796852,120,0,0.999,0.05,0.005,0.2,0.01,0.01,1,0.468,0.572,0.207,0.267,0.339,0.473,0.617,0.587,0.515,0.449,event_t05_q005,3400,83400,dev
cifar_cnn,sign_ef,20570,120,5,0.05,1.661595538,1.627990942,1.636371805,0.4137,0.4137,0.193,1.98099568,24722400,24799200,25457504,254613440,50256704,279412640,1200,0,0,0.3497858163,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.473,0.544,0.193,0.238,0.329,0.428,0.562,0.491,0.46,0.419,sign_ef,3400,83400,dev
cifar_cnn,strom,20570,120,5,0.05,1.546370065,1.426109766,1.479661328,0.4664,0.4664,0.229,1.750533594,126294080,126370880,79654784,796586240,206025664,922957120,1200,7893380,6577.816667,0.3438404807,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,0.476,0.633,0.255,0.229,0.414,0.391,0.59,0.57,0.567,0.539,strom_t0025,3400,83400,dev
cifar_cnn,strom,20570,120,5,0.05,1.84805166,1.51368136,1.57089007,0.4385,0.4385,0.312,1.927167016,52718832,52795632,53020064,530239040,105815696,583034672,1200,3294927,2745.7725,0.3330331771,117,3,0.999,0.025,0.005,0.2,0.01,0.005,1,0.413,0.45,0.312,0.417,0.331,0.361,0.496,0.613,0.475,0.517,strom_t005,3400,83400,dev
cifar_cnn,strom,20570,120,5,0.05,3.144282349,1.979316528,1.999914874,0.2606,0.2606,0.09,2.793901508,14476592,14553392,15211696,152155360,29765088,166708752,1200,904787,753.9891667,0.3542469971,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.19,0.717,0.194,0.09,0.357,0.093,0.179,0.403,0.186,0.197,strom_t01,3400,83400,dev
cifar_cnn,strom,20570,120,5,0.05,4.432131042,2.047604675,2.047816241,0.2546,0.2546,0.049,3.437482096,4237504,4314304,4972608,49764480,9286912,54078784,1200,264844,220.7033333,0.3097479457,120,0,0.999,0.025,0.005,0.2,0.01,0.02,1,0.555,0.131,0.049,0.112,0.157,0.256,0.265,0.344,0.198,0.479,strom_t02,3400,83400,dev
cifar_cnn,strom,20570,120,5,0.05,5.427133179,2.311635376,2.312263977,0.1001,0.1001,0,4.046794014,1607424,1684224,2342528,23463680,4026752,25147904,1200,100464,83.72,0.3467990633,120,0,0.999,0.025,0.005,0.2,0.01,0.04,1,0,0,0,0.001,0,0,0,1,0,0,strom_t04,3400,83400,dev
