architecture,method,dimension,rounds,local_steps,local_lr,final_train_objective,final_train_ce,final_test_ce,final_test_accuracy,final_macro_accuracy,final_worst_class_accuracy,whole_train_objective,uplink_payload_bits,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,broadcast_total_bits,unicast_hybrid_total_bits,messages,coordinate_events,events_per_message,mean_delta_norm,replay_rounds,checkpoint_rounds,rho,threshold,jump0,jump_exponent,topk_fraction,strom_threshold,init_scale,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,config_name,partition_seed,train_seed,tag,comparison
cifar_cnn,dense,20570,120,5,0.05,1.624352162,1.591809399,1.609324548,0.4244,0.4244,0.288,1.898577526,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3486990386,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,0.493,0.557,0.333,0.3,0.288,0.299,0.565,0.489,0.507,0.413,dense,3500,83500,heldout_quality,quality
cifar_cnn,dense,20570,120,5,0.05,1.642157228,1.609520105,1.603094067,0.4265,0.4265,0.257,1.911167478,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3449013015,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,0.495,0.55,0.257,0.297,0.315,0.382,0.533,0.448,0.421,0.567,dense,3600,83600,heldout_quality,quality
cifar_cnn,dense,20570,120,5,0.05,1.638561041,1.605847205,1.606984027,0.4218,0.4218,0.26,1.918667186,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3473173314,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,0.531,0.508,0.261,0.26,0.289,0.419,0.516,0.498,0.422,0.514,dense,3700,83700,heldout_quality,quality
cifar_cnn,ef_topk,20570,120,5,0.05,1.629407279,1.596695056,1.615715091,0.4176,0.4176,0.276,1.914631294,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3433384473,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,0.474,0.555,0.325,0.304,0.276,0.276,0.559,0.474,0.498,0.435,ef_k05,3500,83500,heldout_quality,quality
cifar_cnn,ef_topk,20570,120,5,0.05,1.64508079,1.612262488,1.600672598,0.4242,0.4242,0.261,1.926243954,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3414566052,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,0.484,0.527,0.261,0.263,0.261,0.422,0.54,0.485,0.447,0.552,ef_k05,3600,83600,heldout_quality,quality
cifar_cnn,ef_topk,20570,120,5,0.05,1.644046651,1.61119386,1.604408826,0.4239,0.4239,0.265,1.934187719,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3439342917,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,0.517,0.533,0.265,0.319,0.267,0.33,0.547,0.491,0.444,0.526,ef_k05,3700,83700,heldout_quality,quality
cifar_cnn,event,20570,120,5,0.05,1.449801548,1.410356445,1.442953143,0.4766,0.4766,0.29,1.741153602,18077248,18154048,18812352,188161920,36966400,206315968,1200,1129828,941.5233333,0.3370621839,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.499,0.638,0.29,0.322,0.408,0.359,0.628,0.594,0.588,0.44,event_t025_q005,3500,83500,heldout_quality,quality
cifar_cnn,event,20570,120,5,0.05,1.451585772,1.411196631,1.414184583,0.4932,0.4932,0.25,1.754817235,17325136,17401936,18060240,180640800,35462176,198042736,1200,1082821,902.3508333,0.3336931922,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.594,0.565,0.25,0.419,0.466,0.435,0.553,0.561,0.473,0.616,event_t025_q005,3600,83600,heldout_quality,quality
cifar_cnn,event,20570,120,5,0.05,1.486688589,1.447021448,1.466136044,0.4719,0.4719,0.199,1.780826307,17510592,17587392,18245696,182495360,35833088,200082752,1200,1094412,912.01,0.3373732362,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.573,0.472,0.199,0.222,0.442,0.578,0.561,0.564,0.499,0.609,event_t025_q005,3700,83700,heldout_quality,quality
cifar_cnn,sign_ef,20570,120,5,0.05,1.657428113,1.623673718,1.640031503,0.4125,0.4125,0.283,1.976964725,24722400,24799200,25457504,254613440,50256704,279412640,1200,0,0,0.3500295365,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.467,0.516,0.311,0.306,0.283,0.327,0.523,0.472,0.483,0.437,sign_ef,3500,83500,heldout_quality,quality
cifar_cnn,sign_ef,20570,120,5,0.05,1.668038742,1.634288696,1.630305988,0.419,0.419,0.232,1.981501338,24722400,24799200,25457504,254613440,50256704,279412640,1200,0,0,0.3470577728,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.482,0.509,0.242,0.232,0.303,0.43,0.499,0.485,0.45,0.558,sign_ef,3600,83600,heldout_quality,quality
cifar_cnn,sign_ef,20570,120,5,0.05,1.686142108,1.652348132,1.648272946,0.4161,0.4161,0.223,2.00678626,24722400,24799200,25457504,254613440,50256704,279412640,1200,0,0,0.3490476863,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.508,0.53,0.223,0.229,0.285,0.429,0.549,0.478,0.452,0.478,sign_ef,3700,83700,heldout_quality,quality
cifar_cnn,strom,20570,120,5,0.05,1.528627191,1.389980859,1.453477051,0.4803,0.4803,0.148,1.724323724,135840784,135917584,79654784,796586240,215572368,932503824,1200,8490049,7075.040833,0.338514936,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,0.542,0.668,0.373,0.148,0.31,0.537,0.605,0.562,0.614,0.444,strom_t0025,3500,83500,heldout_quality,quality
cifar_cnn,strom,20570,120,5,0.05,1.578935071,1.427988843,1.44306557,0.4789,0.4789,0.224,1.753240591,134963584,135040384,79654784,796586240,214695168,931626624,1200,8435224,7029.353333,0.3383039009,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,0.503,0.54,0.224,0.341,0.473,0.424,0.575,0.59,0.57,0.549,strom_t0025,3600,83600,heldout_quality,quality
cifar_cnn,strom,20570,120,5,0.05,1.546783521,1.403896558,1.462230844,0.4712,0.4712,0.195,1.775693356,131985712,132062512,79654784,796586240,211717296,928648752,1200,8249107,6874.255833,0.3428665233,0,120,0.999,0.025,0.005,0.2,0.01,0.0025,1,0.551,0.643,0.312,0.195,0.371,0.523,0.607,0.539,0.589,0.382,strom_t0025,3700,83700,heldout_quality,quality
cifar_cnn,ef_topk,20570,120,5,0.05,1.667114885,1.634089136,1.64839458,0.409,0.409,0.231,1.972231867,11618400,11695200,12353504,123573440,24048704,135268640,1200,0,0,0.3431869108,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.506,0.554,0.339,0.29,0.231,0.302,0.529,0.476,0.394,0.469,ef_k01,3500,83500,heldout_traffic,traffic
cifar_cnn,ef_topk,20570,120,5,0.05,1.686895554,1.65376582,1.636799084,0.4085,0.4085,0.237,1.974878428,11618400,11695200,12353504,123573440,24048704,135268640,1200,0,0,0.3411701459,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.478,0.467,0.237,0.252,0.295,0.419,0.503,0.48,0.396,0.558,ef_k01,3600,83600,heldout_traffic,traffic
cifar_cnn,ef_topk,20570,120,5,0.05,1.700268018,1.66709248,1.653097321,0.4111,0.4111,0.241,1.995002208,11618400,11695200,12353504,123573440,24048704,135268640,1200,0,0,0.3432249849,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.518,0.538,0.288,0.266,0.241,0.334,0.538,0.482,0.416,0.49,ef_k01,3700,83700,heldout_traffic,traffic
cifar_cnn,strom,20570,120,5,0.05,2.937812012,1.942662231,1.950225677,0.3094,0.3094,0.093,2.514348743,18475984,18552784,19211088,192149280,37763872,210702064,1200,1154749,962.2908333,0.3364322339,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.131,0.159,0.27,0.093,0.178,0.271,0.809,0.402,0.54,0.241,strom_t01,3500,83500,heldout_traffic,traffic
cifar_cnn,strom,20570,120,5,0.05,2.720410876,1.733824939,1.709579327,0.3842,0.3842,0.072,2.529966514,18956096,19032896,19691200,196950400,38724096,215983296,1200,1184756,987.2966667,0.3484658553,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.56,0.378,0.072,0.21,0.451,0.196,0.418,0.481,0.498,0.578,strom_t01,3600,83600,heldout_traffic,traffic
cifar_cnn,strom,20570,120,5,0.05,2.640559888,1.739888501,1.752277872,0.3713,0.3713,0.145,2.492976533,21009840,21086640,21744944,217487840,42831584,238574480,1200,1313115,1094.2625,0.3464604499,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,0.626,0.605,0.145,0.24,0.29,0.321,0.363,0.486,0.321,0.316,strom_t01,3700,83700,heldout_traffic,traffic
