client,n_train,dominant_class,dominant_fraction,class_0_count,class_1_count,class_2_count,class_3_count,class_4_count,class_5_count,class_6_count,class_7_count,class_8_count,class_9_count
0,5000,0,0.55,2750,250,250,250,250,250,250,250,250,250
1,5000,1,0.55,250,2750,250,250,250,250,250,250,250,250
2,5000,2,0.55,250,250,2750,250,250,250,250,250,250,250
3,5000,3,0.55,250,250,250,2750,250,250,250,250,250,250
4,5000,4,0.55,250,250,250,250,2750,250,250,250,250,250
5,5000,5,0.55,250,250,250,250,250,2750,250,250,250,250
6,5000,6,0.55,250,250,250,250,250,250,2750,250,250,250
7,5000,7,0.55,250,250,250,250,250,250,250,2750,250,250
8,5000,8,0.55,250,250,250,250,250,250,250,250,2750,250
9,5000,9,0.55,250,250,250,250,250,250,250,250,250,2750
