architecture,method,dimension,rounds,local_steps,local_lr,final_train_objective,final_train_ce,final_test_ce,final_test_accuracy,final_macro_accuracy,final_worst_class_accuracy,whole_train_objective,uplink_payload_bits,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,broadcast_total_bits,unicast_hybrid_total_bits,messages,coordinate_events,events_per_message,mean_delta_norm,replay_rounds,checkpoint_rounds,rho,threshold,jump0,jump_exponent,topk_fraction,strom_threshold,init_scale,server_gain,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,config_name,family,partition_seed,train_seed,tag
cifar_cnn,dense,20570,120,5,0.05,1.501446964,1.468299805,1.490181714,0.4631,0.4631,0.214,1.806819972,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3590707526,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.486,0.544,0.214,0.416,0.287,0.343,0.648,0.585,0.6,0.508,dense_gain_2p0,dense_gain,3400,83400,dev
cifar_cnn,dense,20570,120,5,0.05,1.550263846,1.517597449,1.536087817,0.4478,0.4478,0.231,1.82673448,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3466864757,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,1.5,0.507,0.515,0.231,0.316,0.361,0.447,0.623,0.547,0.468,0.463,dense_gain_1p5,dense_gain,3400,83400,dev
cifar_cnn,dense,20570,120,5,0.05,1.62276832,1.590121606,1.597396777,0.4244,0.4244,0.201,1.898044145,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3469725993,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.462,0.558,0.201,0.283,0.371,0.418,0.585,0.502,0.479,0.385,dense_gain_1p0,dense_gain,3400,83400,dev
cifar_cnn,dense,20570,120,5,0.05,1.685321671,1.652638745,1.655078406,0.4073,0.4073,0.199,1.95133186,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3474782661,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,0.75,0.45,0.545,0.199,0.253,0.331,0.391,0.565,0.478,0.457,0.404,dense_gain_0p75,dense_gain,3400,83400,dev
cifar_cnn,dense,20570,120,5,0.05,1.785796127,1.752986328,1.752174802,0.3748,0.3748,0.183,2.035381447,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3502345019,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,0.5,0.438,0.515,0.183,0.197,0.322,0.35,0.531,0.417,0.425,0.37,dense_gain_0p5,dense_gain,3400,83400,dev
cifar_cnn,dense,20570,120,5,0.05,1.830047276,1.794946851,1.803864886,0.3642,0.3642,0.077,2.294126992,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.4272564453,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,4,0.493,0.764,0.148,0.255,0.243,0.077,0.15,0.626,0.61,0.276,dense_gain_4p0,dense_gain,3400,83400,dev
cifar_cnn,dense,20570,120,5,0.05,1.964311684,1.931327222,1.935134442,0.3099,0.3099,0.113,2.170349521,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3611988342,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,0.25,0.422,0.413,0.113,0.149,0.226,0.254,0.444,0.296,0.43,0.352,dense_gain_0p25,dense_gain,3400,83400,dev
cifar_cnn,event,20570,120,5,0.05,1.446650314,1.407413257,1.425371161,0.4889,0.4889,0.234,1.753060239,18059920,18136720,18795024,187988640,36931744,206125360,1200,1128745,940.6208333,0.3359227417,120,0,1,0.025,0.005,0.2,0.01,0.01,1,1,0.54,0.576,0.261,0.234,0.399,0.488,0.738,0.577,0.541,0.535,event_no_leak,mechanism,3400,83400,dev
cifar_cnn,event,20570,120,5,0.05,1.44801791,1.408633362,1.430995166,0.4884,0.4884,0.24,1.750190501,17553200,17630000,18288304,182921440,35918304,200551440,1200,1097075,914.2291667,0.3362608924,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.549,0.591,0.24,0.25,0.407,0.483,0.745,0.541,0.574,0.504,event_frozen,mechanism,3400,83400,dev
cifar_cnn,event,20570,120,5,0.05,2.975946411,2.200728943,2.212044971,0.2465,0.2465,0,2.902817051,5614208,5691008,6349312,63531520,12040320,69222528,1200,350888,292.4066667,0.3758270749,120,0,0.999,0.025,0.025,0,0.01,0.01,1,1,0.753,0.204,0.001,0,0,0.398,0.52,0.279,0.248,0.062,event_coupled_quantum,mechanism,3400,83400,dev
