architecture,method,dimension,rounds,local_steps,local_lr,final_train_objective,final_train_ce,final_test_ce,final_test_accuracy,final_macro_accuracy,final_worst_class_accuracy,whole_train_objective,uplink_payload_bits,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,broadcast_total_bits,unicast_hybrid_total_bits,messages,coordinate_events,events_per_message,mean_delta_norm,replay_rounds,checkpoint_rounds,rho,threshold,jump0,jump_exponent,topk_fraction,strom_threshold,init_scale,server_gain,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,config_name,family,partition_seed,train_seed,tag
cifar_cnn,dense,20570,120,5,0.05,1.580609525,1.547510693,1.567312723,0.4299,0.4299,0.184,1.808751962,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3570610245,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.6,0.473,0.387,0.184,0.499,0.254,0.49,0.454,0.603,0.355,dense_gain_2p0,dense_gain,3500,83500,heldout
cifar_cnn,dense,20570,120,5,0.05,1.588738497,1.555605627,1.561927234,0.4416,0.4416,0.294,1.830403057,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.356337201,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.525,0.357,0.354,0.441,0.326,0.479,0.528,0.489,0.294,0.623,dense_gain_2p0,dense_gain,3600,83600,heldout
cifar_cnn,dense,20570,120,5,0.05,1.526807107,1.493701794,1.515459076,0.4523,0.4523,0.221,1.837396527,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.356785315,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.618,0.449,0.221,0.332,0.42,0.525,0.504,0.467,0.491,0.496,dense_gain_2p0,dense_gain,3700,83700,heldout
cifar_cnn,event,20570,120,5,0.05,3.333552478,2.488987109,2.483229932,0.1,0.1,0,3.025962369,1550224,1627024,2285328,22891680,3912352,24518704,1200,96889,80.74083333,0.3658953821,120,0,0.999,0.025,0.025,0,0.01,0.01,1,1,0,0,0,0,0,1,0,0,0,0,event_coupled_quantum,mechanism,3500,83500,heldout
cifar_cnn,event,20570,120,5,0.05,2.855898938,2.051586133,2.036510706,0.2184,0.2184,0,2.94040709,4096768,4173568,4831872,48357120,9005440,52530688,1200,256048,213.3733333,0.3825096462,120,0,0.999,0.025,0.025,0,0.01,0.01,1,1,0.544,0.094,0.414,0.005,0,0.651,0.013,0,0.414,0.049,event_coupled_quantum,mechanism,3600,83600,heldout
cifar_cnn,event,20570,120,5,0.05,2.533078253,2.065623389,2.076869873,0.2341,0.2341,0,3.241206622,4538720,4615520,5273824,52776640,9889344,57392160,1200,283670,236.3916667,0.3861676019,120,0,0.999,0.025,0.025,0,0.01,0.01,1,1,0.734,0.234,0.083,0.008,0.664,0.455,0,0.025,0.125,0.013,event_coupled_quantum,mechanism,3700,83700,heldout
cifar_cnn,event,20570,120,5,0.05,1.449017503,1.409439954,1.434868304,0.4825,0.4825,0.353,1.740489174,17727840,17804640,18462944,184667840,36267584,202472480,1200,1107990,923.325,0.3362287153,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.51,0.628,0.398,0.353,0.377,0.365,0.612,0.561,0.58,0.441,event_frozen,mechanism,3500,83500,heldout
cifar_cnn,event,20570,120,5,0.05,1.451585772,1.411196631,1.414184583,0.4932,0.4932,0.25,1.754817235,17325136,17401936,18060240,180640800,35462176,198042736,1200,1082821,902.3508333,0.3336931922,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.594,0.565,0.25,0.419,0.466,0.435,0.553,0.561,0.473,0.616,event_frozen,mechanism,3600,83600,heldout
cifar_cnn,event,20570,120,5,0.05,1.486688589,1.447021448,1.466136044,0.4719,0.4719,0.199,1.780826307,17510592,17587392,18245696,182495360,35833088,200082752,1200,1094412,912.01,0.3373732362,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.573,0.472,0.199,0.222,0.442,0.578,0.561,0.564,0.499,0.609,event_frozen,mechanism,3700,83700,heldout
cifar_cnn,event,20570,120,5,0.05,1.44148885,1.40187074,1.431091785,0.4857,0.4857,0.313,1.735872866,18275568,18352368,19010672,190145120,37363040,208497488,1200,1142223,951.8525,0.3377035087,120,0,1,0.025,0.005,0.2,0.01,0.01,1,1,0.504,0.646,0.359,0.369,0.377,0.313,0.649,0.57,0.594,0.476,event_no_leak,mechanism,3500,83500,heldout
cifar_cnn,event,20570,120,5,0.05,1.463875277,1.423520422,1.42499967,0.4922,0.4922,0.241,1.763721092,17332432,17409232,18067536,180713760,35476768,198122992,1200,1083277,902.7308333,0.3335366172,120,0,1,0.025,0.005,0.2,0.01,0.01,1,1,0.578,0.622,0.241,0.448,0.472,0.372,0.579,0.55,0.485,0.575,event_no_leak,mechanism,3600,83600,heldout
cifar_cnn,event,20570,120,5,0.05,1.475415419,1.43521958,1.459899902,0.4716,0.4716,0.208,1.775970917,17468960,17545760,18204064,182079040,35749824,199624800,1200,1091810,909.8416667,0.3367688472,120,0,1,0.025,0.005,0.2,0.01,0.01,1,1,0.608,0.454,0.232,0.208,0.441,0.588,0.544,0.573,0.491,0.577,event_no_leak,mechanism,3700,83700,heldout
