method,client,period,downlink_Mbit,checkpoints,replays,max_sync_error
events,0,1,30.659582,0,4440,0.0
events,1,1,30.659582,0,4440,0.0
events,2,2,30.640382,0,4440,0.0
events,3,2,30.640382,0,4440,0.0
events,4,5,30.628862,0,4440,0.0
events,5,5,30.628862,0,4440,0.0
events,6,10,30.625022,0,4440,0.0
events,7,10,30.625022,0,4440,0.0
events,8,20,27.588217,55,370,0.0
events,9,20,27.554435,55,370,0.0
ef_topk,0,1,74.461712,0,4440,0.0
ef_topk,1,1,74.461712,0,4440,0.0
ef_topk,2,2,74.442512,0,4440,0.0
ef_topk,3,2,74.442512,0,4440,0.0
ef_topk,4,5,74.430992,0,4440,0.0
ef_topk,5,5,74.430992,0,4440,0.0
ef_topk,6,10,55.887758,120,3,0.0
ef_topk,7,10,55.870996,120,2,0.0
ef_topk,8,20,27.935514,60,1,0.0
ef_topk,9,20,27.918720,60,0,0.0
