architecture,local_steps,method,test_ce,accuracy,worst_class,payload_mbit,sign_reversal_rate
MLP,1,Event-FedAvg,0.788674,0.7193,0.093,8.308048,0.005113
MLP,1,Dense FedAvg,0.775573,0.7484,0.156,1239.264000,0
MLP,1,EF-TopK 2.5%,0.845577,0.7256,0.131,45.472500,0
MLP,1,Sign-EF,0.948527,0.7307,0.106,38.775000,0
MLP,5,Event-FedAvg,0.479836,0.8290,0.596,15.709840,0.012334
MLP,5,Dense FedAvg,0.497226,0.8232,0.544,1239.264000,0
MLP,5,EF-TopK 2.5%,0.502675,0.8198,0.583,45.472500,0
MLP,5,Sign-EF,0.527680,0.8140,0.511,38.775000,0
MLP,10,Event-FedAvg,0.430701,0.8454,0.664,17.173280,0.029318
MLP,10,Dense FedAvg,0.445724,0.8407,0.593,1239.264000,0
MLP,10,EF-TopK 2.5%,0.447571,0.8415,0.613,45.472500,0
MLP,10,Sign-EF,0.468979,0.8280,0.572,38.775000,0
CNN,5,Event-FedAvg,0.514833,0.8110,0.524,5.999490,0.024748
CNN,5,Dense FedAvg,0.604572,0.7731,0.350,372.172800,0
CNN,5,EF-TopK 2.5%,0.626935,0.7671,0.273,13.358400,0
CNN,5,Sign-EF,0.668562,0.7632,0.297,11.656000,0
