point_id,benchmark,role,method,configuration,n_seeds,partition_seeds,training_seeds,final_train_objective_mean,final_train_objective_std,final_test_ce_mean,final_test_ce_std,final_test_accuracy_mean,final_test_accuracy_std,final_worst_class_accuracy_mean,final_worst_class_accuracy_std,uplink_packetized_bits_mean,uplink_packetized_bits_std,broadcast_total_bits_mean,broadcast_total_bits_std,unicast_hybrid_total_bits_mean,unicast_hybrid_total_bits_std,coordinate_events_mean,coordinate_events_std
cifar_dense_gain2,cifar_cnn,dense_reference,dense,dense_gain_2p0,10,3500;3600;3700;3800;3900;4000;4100;4200;4300;4400,83500;83600;83700;83800;83900;84000;84100;84200;84300;84400,1.56231922,0.04103788589,1.555590439,0.0339411127,0.43879,0.01381637113,0.2081,0.04174113346,789964800,0,869619584,0,1586551040,0,0,0
cifar_event,cifar_cnn,event,event,event_t025_q005,10,3500;3600;3700;3800;3900;4000;4100;4200;4300;4400,83500;83600;83700;83800;83900;84000;84100;84200;84300;84400,1.451539745,0.02132317492,1.440499776,0.01791747071,0.48127,0.0089202703,0.2603,0.03956443408,17669494.4,364780.3757,35997292.8,729560.7514,200985878.4,4012584.133,1099543.4,22798.77348
cifar_ef_quality,cifar_cnn,qualification,ef_topk,ef_k05,10,3500;3600;3700;3800;3900;4000;4100;4200;4300;4400,83500;83600;83700;83800;83900;84000;84100;84200;84300;84400,1.627377203,0.01398406806,1.602432573,0.006562576597,0.42321,0.002176873395,0.2487,0.0190032161,58056000,0,116770304,0,645237440,0,0,0
cifar_strom_quality,cifar_cnn,quality,strom,strom_t0025,10,3500;3600;3700;3800;3900;4000;4100;4200;4300;4400,83500;83600;83700;83800;83900;84000;84100;84200;84300;84400,1.547690473,0.02517623953,1.462350289,0.02318066983,0.46982,0.008445616878,0.2077,0.06328603497,130887859.2,6599472.893,210542643.2,6599472.893,927474099.2,6599472.893,8175691.2,412467.0558
cifar_strom_near,cifar_cnn,traffic,strom,strom_t01,10,3500;3600;3700;3800;3900;4000;4100;4200;4300;4400,83500;83600;83700;83800;83900;84000;84100;84200;84300;84400,2.73311959,0.1441568346,1.788590749,0.1081479059,0.34873,0.04408507054,0.0978,0.05968398259,18851726.4,1582138.272,38361756.8,3164276.545,213990430.4,17403521,1173432.9,98883.64203
fmnist_cnn_event,fmnist_cnn,event,event,fixed,10,2500;2600;2700;2800;2900;3000;3100;3200;3300;3400,72500;72600;72700;72800;72900;73000;73100;73200;73300;73400,0.4776242904,0.01599393622,0.5123859465,0.009750645156,0.81202,0.004857479914,0.4248,0.07446371227,6132956,88539.78659,12731192,177079.5732,72140916,973937.6525,405450.4,5902.65244
fmnist_cnn_strom_quality,fmnist_cnn,quality,strom,0.005,10,2500;2600;2700;2800;2900;3000;3100;3200;3300;3400,72500;72600;72700;72800;72900;73000;73100;73200;73300;73400,0.4761928531,0.02189024491,0.5026416242,0.01538071566,0.82073,0.00765710273,0.3884,0.1140245588,32396619.5,505987.3132,64861947.5,1008726.644,357075499.5,5549515.585,2156361.3,33732.48755
fmnist_cnn_strom_near,fmnist_cnn,traffic,strom,0.02,10,2500;2600;2700;2800;2900;3000;3100;3200;3300;3400,72500;72600;72700;72800;72900;73000;73100;73200;73300;73400,0.56221876,0.0264613644,0.5833228648,0.02373367097,0.79062,0.01296660668,0.238,0.1089689048,7017723.5,134195.794,14500727,268391.588,81873358.5,1476153.734,464434.9,8946.386265
fmnist_mlp_event,fmnist_mlp,event,event,fixed,10,2500;2600;2700;2800;2900;3000;3100;3200;3300;3400,72500;72600;72700;72800;72900;73000;73100;73200;73300;73400,0.4468609632,0.01510855924,0.4813088924,0.01019016577,0.8305,0.004218214472,0.5499,0.05927234693,15863601.6,221590.5028,32553443.2,443181.0056,182810017.6,2437495.531,985475.1,13849.40642
fmnist_mlp_ef_quality,fmnist_mlp,quality,ef_topk,0.05,10,2500;2600;2700;2800;2900;3000;3100;3200;3300;3400,72500;72600;72700;72800;72900;73000;73100;73200;73300;73400,0.4655483585,0.01246671576,0.496003592,0.001889864148,0.82398,0.002388770023,0.5294,0.03133404255,91111500,0,183049240,0,1010536900,0,0,0
fmnist_mlp_strom_near,fmnist_mlp,traffic,strom,0.02,10,2500;2600;2700;2800;2900;3000;3100;3200;3300;3400,72500;72600;72700;72800;72900;73000;73100;73200;73300;73400,0.6395455606,0.04951659792,0.6169355631,0.04374078637,0.78819,0.01623880469,0.4032,0.1204462074,15742268.8,386553.2737,32310777.6,773106.5473,181475356.8,4252086.01,977891.8,24159.5796
